"GO" "genes"
"cadherin binding" "LASP1/ANLN/CAPG/HSPA5/ENO1/FSCN1/CHMP2B/RAB10/NUDC/MYH9/AHSA1/EIF5/NOP56/CHMP4B/EMD/UBFD1/EIF3E/PLIN3/YKT6/EIF4H/PFN1/LRRC59/EIF4G2/STK38/RARS/SPTBN1/TXNDC9/HDLBP/CAPZA1/PRDX6/AHNAK/MYO1B/SNX9/EIF2S3/DNAJB1/ARFIP2/FAM129B/TLN1/RAB1A/USO1/IQGAP1/CSNK1D/EFHD2/BAG3/EEF2/FASN/CDH2/KIF5B/BSG/CKAP5/ARHGAP1/PUF60/PAK2/H1FX/RAB11B/SND1/PARVA/TWF2/EEF1G"
"unfolded protein binding" "NUDCD3/HSPA5/DNAJA2/HSP90AA1/DNAJA1/NUDC/ST13/CDC37/DNAJB6/PPIF/GRPEL1/HSPA9/PFDN1/CCT4/TCP1/CANX/DNAJB1/UGGT1/TOR1A/PFDN2/HSPD1/CCT5/HSPA13/CCT3/HSP90B1/PPIB/PPIC/TOMM20/CALR/RUVBL2/TUBB4B/PPIA"
"translation factor activity, RNA binding" "EIF3I/EIF3L/EIF3D/EIF5/GSPT1/EIF3J/EIF3E/EIF3B/EIF4H/EIF3A/EIF4G2/GTF2H3/HBS1L/EIF1B/EIF2S2/EIF2S3/EIF3G/DENR/EIF3M/EEF1A1/EIF4A1/EIF5A2/EEF2/MRPL58/TUFM/EEF1G"
"ubiquitin protein ligase binding" "SLC25A5/UQCRC1/CUL3/HSPA5/PRKACA/UBE2D1/UBE2T/UBE2A/XRCC5/HSP90AA1/DNAJA1/RBX1/HIF1A/LAPTM4B/DDX58/LTBR/HSPA9/FAF2/PRDX6/NEK6/TCP1/CLU/SPOP/RPL5/NEDD8/SNX9/TRIM28/UBE2G1/SYT11/LRPPRC/RB1/RALB/HSPD1/ERLIN2/UBC/SQSTM1/JAK1/VCP/CKB/GABARAP/UBB/PA2G4/PSMD1/UBE2N/CALR/POLR2A/USP7/UBE2J1"
"ubiquitin-like protein ligase binding" "SLC25A5/UQCRC1/CUL3/HSPA5/PRKACA/UBE2D1/UBE2T/UBE2A/XRCC5/HSP90AA1/DNAJA1/RBX1/HIF1A/LAPTM4B/DDX58/LTBR/HSPA9/FAF2/PRDX6/NEK6/TCP1/CLU/SPOP/RPL5/NEDD8/SNX9/TRIM28/UBE2G1/SYT11/CCNB1/LRPPRC/RB1/RALB/HSPD1/ERLIN2/UBC/SQSTM1/JAK1/VCP/CKB/GABARAP/UBB/PA2G4/PSMD1/UBE2N/CALR/POLR2A/USP7/UBE2J1"
"translation initiation factor activity" "EIF3I/EIF3L/EIF3D/EIF5/EIF3J/EIF3E/EIF3B/EIF4H/EIF3A/EIF4G2/EIF1B/EIF2S2/EIF2S3/EIF3G/DENR/EIF3M/EIF4A1"
"nucleoside binding" "ARF5/EHD2/POLR2B/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/POLR1B/RRAS/ACTN4/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/PNP/OPA1/RAB12/NRAS/ARL2"
"ribonucleoside binding" "ARF5/EHD2/POLR2B/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/POLR1B/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"GTPase activity" "ARF5/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/GNL2/RAB1A/ARL3/RHOB/RALB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/TUBA1A/EEF2/TSR1/ARF4/RAB31/GNB2/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/TUBB4B/GPN1/OPA1/RAB12/NRAS/ARL2"
"ribonucleoprotein complex binding" "HSPA5/YBX3/SNRPA/CBX5/PRMT5/PRPF6/NAA10/EIF4H/C1QBP/DDX5/EIF1B/RPN2/PTCD3/DHX9/EIF4A3/PELO/OXA1L/EIF5A2/NAA15/ABCE1/SNRPD1/EEF2/SRP68/CD2BP2/SRP72/SND1/CSNK2B/BOP1"
"purine ribonucleoside binding" "ARF5/EHD2/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"purine nucleoside binding" "ARF5/EHD2/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"GTP binding" "ARF5/EHD2/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"guanyl nucleotide binding" "ARF5/EHD2/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"guanyl ribonucleotide binding" "ARF5/EHD2/GNAI3/RAB10/EIF5/GSPT1/RAB2A/RHEB/GTPBP4/EFTUD2/RAB35/HBS1L/GNAI2/RRAS/EIF2S3/TUBG1/ARFIP2/GNL2/RAB1A/ARL3/RHOB/RALB/DYNC1LI1/SRPRB/MTG1/SAR1B/EEF1A1/RHOBTB3/ARF6/RAB8B/NOLC1/TUBA1A/EEF2/TSR1/HIST1H1E/ARF4/RAB31/RAB1B/RAB6A/TUBB6/TUFM/RAB11B/DRG1/TUBB4B/ANXA6/GPN1/OPA1/RAB12/NRAS/ARL2"
"double-stranded RNA binding" "ZFR/ELAVL1/DDX1/EIF4H/DDX58/DHX15/STAU1/DHX9/MRPL44/CLTC/HSPD1/MTDH/EIF4A1/DHX36/TUBB4B/HMGB1/YRDC/LSM14A"
"catalytic activity, acting on RNA" "SARS/NSUN2/MTREX/POLR2B/KARS/IARS2/EXOSC7/REXO2/DDX1/DIS3/DDX18/XRN2/AARS/DDX17/RTCB/POLR2C/GARS/DDX5/DHX15/RARS/DARS/FARSB/ERI3/RCL1/POLR1B/EMG1/LARS/NARS/YARS/DHX9/MRPL44/EPRS/EIF4A3/SNRNP200/G3BP1/NOCT/EIF4A1/TRMT61A/MRPL58/FEN1/EXOSC10/QARS/TRMT10C/DHX36/FARSA/POLR2A/PTRHD1/IARS/SND1/TSN"
"structural constituent of ribosome" "RPS20/MRPS34/MRPL28/RPL3/RPS19/RPS13/RPS12/RPL22/MRPS15/RPL21/MRPS2/RPL5/RPS15A/RPS11/RPL13A/RPS8/MRPL9/MRPS5/RPL37/MRPL17/RPL27A/RPL4/MRPS22/RPLP2/MRPL14/MRPS23/MRPS16/RPL12/RPS4X/RPL10A/MRPL46"
"nucleosomal DNA binding" "SMARCE1/SMARCB1/CHD4/H2AFY/HDAC1/MTA2/RBBP4/H2AFZ/HIST1H1E/SMARCC1/HIST1H1B/H1FX/HIST1H1C/H1F0/HDAC2"
"aminoacyl-tRNA ligase activity" "SARS/KARS/IARS2/AARS/GARS/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/QARS/FARSA/IARS"
"ligase activity, forming carbon-oxygen bonds" "SARS/KARS/IARS2/AARS/GARS/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/QARS/FARSA/IARS"
