FBtr0075502,CG6244
FBtr0300738,kat-60L1
FBtr0300739,kat-60L1
FBtr0300737,kat-60L1
FBtr0300736,kat-60L1
FBtr0078628,kat-60L1
FBtr0300740,kat-60L1
FBtr0078627,kat-60L1
FBtr0300741,kat-60L1
FBtr0072762,CG7970
FBtr0346821,CG7970
FBtr0331460,CG7970
FBtr0303848,mei-217
FBtr0086122,CG15909
FBtr0306835,CR43303
FBtr0335147,Rhau
FBtr0081459,Rhau
FBtr0305321,cdi
FBtr0083716,cdi
FBtr0344640,CR43250
FBtr0078184,CG13247
FBtr0081691,Ccp84Aa
FBtr0085263,CG31253
FBtr0347249,CR46042
FBtr0347248,CR46042
FBtr0086342,Obp56g
FBtr0086343,Obp56g
FBtr0304277,mir-987
FBtr0091847,His1:CG33843
FBtr0335428,CR44134
FBtr0072393,CG3770
FBtr0343502,CG3770
FBtr0342923,CR44740
FBtr0343753,pre-mod(mdg4)-L
FBtr0433525,pre-mod(mdg4)-L
FBtr0113895,Tim17b
FBtr0345179,Tim17b
FBtr0334135,Pde1c
FBtr0334137,Pde1c
FBtr0334141,Pde1c
FBtr0334139,Pde1c
FBtr0334140,Pde1c
FBtr0344148,Pde1c
FBtr0334142,Pde1c
FBtr0334138,Pde1c
FBtr0334136,Pde1c
FBtr0085105,CG17189
FBtr0346720,ORY
FBtr0076089,Tim13
FBtr0087500,CG12863
FBtr0308926,CR31781
FBtr0308929,CR31781
FBtr0308925,CR31781
FBtr0308928,CR31781
FBtr0346590,CR31781
FBtr0308927,CR31781
FBtr0073094,CG17746
FBtr0073093,CG17746
FBtr0343515,CG30428
FBtr0072451,CG30428
FBtr0071607,Acox57D-d
FBtr0081516,dtr
FBtr0300749,CG12012
FBtr0346532,CG12012
FBtr0073076,CG12012
FBtr0089289,Dyrk2
FBtr0100448,Dyrk2
FBtr0089290,Dyrk2
FBtr0089288,Dyrk2
FBtr0100447,Dyrk2
FBtr0329933,Dyrk2
FBtr0336949,Dyrk2
FBtr0088786,Pabp2
FBtr0088785,Pabp2
FBtr0113614,snoRNA:Me18S-U1356b
FBtr0303077,CG42729
FBtr0339716,CG18731
FBtr0085459,CG18731
FBtr0070973,mAChR-C
FBtr0346372,CR45655
FBtr0089252,Sox102F
FBtr0334488,Sox102F
FBtr0334489,Sox102F
FBtr0100600,Sox102F
FBtr0300305,Sfp26Ac
FBtr0077162,CG4597
FBtr0072277,mRpS17
FBtr0344898,PpY-55A
FBtr0086817,PpY-55A
FBtr0333271,bab2
FBtr0072639,bab2
FBtr0340000,CG8157
FBtr0087390,CG8157
FBtr0070472,sgg
