ENSMUST00000082423,mt-Tp
ENSMUST00000082422,mt-Tt
ENSMUST00000082421,mt-Cytb
ENSMUST00000082420,mt-Te
ENSMUST00000082419,mt-Nd6
ENSMUST00000082418,mt-Nd5
ENSMUST00000082417,mt-Tl2
ENSMUST00000082416,mt-Ts2
ENSMUST00000082415,mt-Th
ENSMUST00000082414,mt-Nd4
ENSMUST00000084013,mt-Nd4l
ENSMUST00000082412,mt-Tr
ENSMUST00000082411,mt-Nd3
ENSMUST00000082410,mt-Tg
ENSMUST00000082409,mt-Co3
ENSMUST00000082408,mt-Atp6
ENSMUST00000082407,mt-Atp8
ENSMUST00000082406,mt-Tk
ENSMUST00000082405,mt-Co2
ENSMUST00000082404,mt-Td
ENSMUST00000082403,mt-Ts1
ENSMUST00000082402,mt-Co1
ENSMUST00000082401,mt-Ty
ENSMUST00000082400,mt-Tc
ENSMUST00000082399,mt-Tn
ENSMUST00000082398,mt-Ta
ENSMUST00000082397,mt-Tw
ENSMUST00000082396,mt-Nd2
ENSMUST00000082395,mt-Tm
ENSMUST00000082394,mt-Tq
ENSMUST00000082393,mt-Ti
ENSMUST00000082392,mt-Nd1
ENSMUST00000082391,mt-Tl1
ENSMUST00000082390,mt-Rnr2
ENSMUST00000082389,mt-Tv
ENSMUST00000082388,mt-Rnr1
ENSMUST00000082387,mt-Tf
ENSMUST00000184514,Mir6916
ENSMUST00000157288,Gm24915
ENSMUST00000184894,Mir7017
ENSMUST00000175035,Gm26195
ENSMUST00000184327,Gm27869
ENSMUST00000157262,Gm23598
ENSMUST00000158909,Gm25166
ENSMUST00000093629,Mir452
ENSMUST00000177565,CT868723.1
ENSMUST00000083412,Gm25582
ENSMUST00000083881,Gm24697
ENSMUST00000103993,Gm25093
ENSMUST00000171531,Gm2431
ENSMUST00000104610,Gm23803
ENSMUST00000083890,Gm26315
ENSMUST00000158895,Gm23831
ENSMUST00000122660,Gm22199
ENSMUST00000158927,Gm24177
ENSMUST00000122504,Gm24596
ENSMUST00000067743,Gm9949
ENSMUST00000083437,Gm22739
ENSMUST00000083022,Gm24918
ENSMUST00000179835,Gm24264
ENSMUST00000083723,Gm25337
ENSMUST00000158904,Gm22325
ENSMUST00000157091,Gm25825
ENSMUST00000184050,Mir6399
ENSMUST00000025718,Ankrd1
ENSMUST00000104347,Gm22543
ENSMUST00000184596,Gm27690
ENSMUST00000104055,Gm23270
ENSMUST00000183526,Mir7082
ENSMUST00000083856,Gm23711
ENSMUST00000158250,Gm25862
ENSMUST00000083550,Mir130a
ENSMUST00000172148,Mc5r
ENSMUST00000115428,Dcpp3
ENSMUST00000158681,Gm24842
ENSMUST00000184012,Gm27301
ENSMUST00000083685,Mir183
ENSMUST00000082624,Gm24620
ENSMUST00000157480,Gm22379
ENSMUST00000158879,Gm23475
ENSMUST00000083461,Mir193a
ENSMUST00000082891,n-R5s195
ENSMUST00000175191,Gm22906
ENSMUST00000104092,Gm25764
ENSMUST00000178820,n-R5s142
ENSMUST00000157174,Gm25961
ENSMUST00000082629,Snora7a
ENSMUST00000025691,Fas
ENSMUST00000112472,Fas
ENSMUST00000183802,Gm27711
ENSMUST00000196300,Gm47312
ENSMUST00000083439,Gm22740
ENSMUST00000083489,Mir181a-2
ENSMUST00000102329,Gm24272
ENSMUST00000157887,Gm24467
ENSMUST00000183859,Mir6930
ENSMUST00000175387,Gm24369
ENSMUST00000083558,Mir34b
ENSMUST00000158686,Gm23180
ENSMUST00000082737,Gm22807
ENSMUST00000082872,Gm24038
ENSMUST00000157785,Gm24240
ENSMUST00000178897,Gm24802
ENSMUST00000102316,Mir697
ENSMUST00000158174,Gm22535
ENSMUST00000158322,Gm23257
ENSMUST00000183480,Gm27438
ENSMUST00000178070,Btbd35f1
ENSMUST00000083647,Mir194-1
ENSMUST00000083609,Mir330
ENSMUST00000104748,Mir466h
ENSMUST00000183870,Mir6342
ENSMUST00000158663,Gm26022
ENSMUST00000083894,Gm26317
ENSMUST00000165559,Ctif
ENSMUST00000122773,Gm24140
ENSMUST00000174955,Mir5133
ENSMUST00000158852,Gm25365
ENSMUST00000158276,Mir1943
ENSMUST00000051806,Dntt
ENSMUST00000112200,Dntt
ENSMUST00000184098,Mir7212
ENSMUST00000183910,Mir6951
ENSMUST00000082679,Gm24621
ENSMUST00000157794,Gm24236
ENSMUST00000157564,Gm22213
ENSMUST00000158178,Gm24074
ENSMUST00000158563,Gm22942
ENSMUST00000041163,Wnt8b
ENSMUST00000064775,Adcyap1
ENSMUST00000158755,Gm24677
ENSMUST00000184382,Mir8112
ENSMUST00000157459,Gm25342
ENSMUST00000175311,Gm24816
ENSMUST00000083150,Gm26496
ENSMUST00000157689,Gm26186
ENSMUST00000177557,Gm26445
ENSMUST00000184960,Mir6977
ENSMUST00000158492,Gm25903
ENSMUST00000185146,Mir6919
ENSMUST00000104588,Gm22371
ENSMUST00000157291,Gm24912
ENSMUST00000158622,Gm24051
ENSMUST00000042710,Smim3
ENSMUST00000104026,Gm23950
ENSMUST00000082921,Gm24526
ENSMUST00000183760,Mir6377
ENSMUST00000104233,Gm24283
ENSMUST00000158765,Gm23021
ENSMUST00000157573,Gm23906
ENSMUST00000082698,Gm25142
ENSMUST00000175230,Gm25931
ENSMUST00000183932,Mir3473e
ENSMUST00000174911,Mir3104
ENSMUST00000184079,Mir7659
ENSMUST00000104387,Gm24888
ENSMUST00000158265,Gm22517
ENSMUST00000116774,Mir466k
ENSMUST00000157374,Gm25060
ENSMUST00000157441,Gm23253
ENSMUST00000158068,Gm22330
ENSMUST00000183622,Gm27389
ENSMUST00000116861,Gm22195
ENSMUST00000158876,Gm23479
ENSMUST00000158698,Gm25978
ENSMUST00000026172,Ankrd2
ENSMUST00000103799,Gm24115
ENSMUST00000082521,n-R5s56
ENSMUST00000179895,Snord116l7
ENSMUST00000116879,Gm23882
ENSMUST00000093569,Mir491
ENSMUST00000104710,Mir294
ENSMUST00000184437,Mir6236
ENSMUST00000184516,Gm27390
ENSMUST00000196974,Gm44319
ENSMUST00000184681,Mir7664
ENSMUST00000177785,Ccl27b
ENSMUST00000082854,Gm22683
ENSMUST00000158047,Gm23664
ENSMUST00000083560,Mir28a
ENSMUST00000026062,Casp7
ENSMUST00000083369,Gm23249
ENSMUST00000083093,Gm25201
ENSMUST00000177596,Gm22716
ENSMUST00000095188,Camkmt
ENSMUST00000157910,Gm24997
ENSMUST00000184278,Mir6360
ENSMUST00000175561,Gm23801
ENSMUST00000158623,Gm24050
ENSMUST00000184520,Mir8106
ENSMUST00000025842,Gal
ENSMUST00000178441,Gm22274
ENSMUST00000082577,Gm22459
ENSMUST00000158331,Gm24945
ENSMUST00000158376,Gm23852
ENSMUST00000104225,Gm23389
ENSMUST00000185037,Gm27653
ENSMUST00000157192,Gm22492
ENSMUST00000158566,Gm25770
ENSMUST00000179782,Gm24978
ENSMUST00000083694,Snord33
ENSMUST00000104465,Gm23321
ENSMUST00000157474,Gm23673
ENSMUST00000157752,Gm25183
ENSMUST00000180276,Gm22347
ENSMUST00000083673,Mir331
ENSMUST00000157570,Gm23901
ENSMUST00000175085,Gm24197
ENSMUST00000158026,Gm24853
ENSMUST00000082553,Gm23736
ENSMUST00000083406,Gm25578
ENSMUST00000175471,Gm25249
ENSMUST00000184981,Mir6939
ENSMUST00000083065,Gm26035
ENSMUST00000104247,Gm22590
ENSMUST00000178954,Gm23189
ENSMUST00000122667,Gm25047
ENSMUST00000083710,Gm25859
ENSMUST00000179084,Gm26096
ENSMUST00000184570,Gm27449
ENSMUST00000083455,Gm23100
ENSMUST00000104523,AF357399
ENSMUST00000184696,Mir7066
ENSMUST00000178844,Gm25709
ENSMUST00000083752,Snora5c
ENSMUST00000157210,Gm24481
ENSMUST00000025924,Spindoc
ENSMUST00000196064,Gm44363
ENSMUST00000065286,Fam204a
ENSMUST00000040270,Actr1a
ENSMUST00000158550,Gm22433
ENSMUST00000104250,Gm22595
ENSMUST00000116746,Snord111
ENSMUST00000180171,Gm25196
ENSMUST00000158499,Gm26402
ENSMUST00000116709,Gm26250
ENSMUST00000122529,Gm26425
ENSMUST00000103261,Mir744
ENSMUST00000157758,Gm24687
ENSMUST00000102430,Gm24462
ENSMUST00000198228,Gm47311
ENSMUST00000104365,Gm23176
ENSMUST00000083837,n-R5s54
ENSMUST00000183561,Gm28001
ENSMUST00000103960,Gm22935
ENSMUST00000083791,Gm26165
ENSMUST00000122664,n-R5s164
ENSMUST00000182333,Gm27604
ENSMUST00000179677,AC126035.1
ENSMUST00000158800,Gm26006
ENSMUST00000025483,Nars
ENSMUST00000122492,Gm26255
ENSMUST00000093570,Mir463
ENSMUST00000082821,Gm26328
ENSMUST00000184357,Gm27284
ENSMUST00000184545,Mir6383
ENSMUST00000122739,n-R5s43
ENSMUST00000157849,Gm23085
ENSMUST00000104053,Gm23272
ENSMUST00000174932,Mir3067
ENSMUST00000178565,Gm25633
ENSMUST00000046333,Tmem225
ENSMUST00000102439,Gm25991
ENSMUST00000158654,Gm24554
ENSMUST00000184347,Gm27517
ENSMUST00000180373,Gm21679
ENSMUST00000096753,Hnrnpul2
ENSMUST00000051803,Aldh3b1
ENSMUST00000104209,Gm24341
ENSMUST00000082847,Gm22686
ENSMUST00000104273,Gm26420
ENSMUST00000179471,Gm22951
ENSMUST00000073997,BC023105
ENSMUST00000185166,Mir6928
ENSMUST00000066285,Hspa12a
ENSMUST00000183671,Gm27618
ENSMUST00000158046,Gm23662
ENSMUST00000083719,Gm23105
ENSMUST00000083693,Gm24803
ENSMUST00000178569,AC234645.1
ENSMUST00000158536,Gm24130
ENSMUST00000157653,Gm23121
ENSMUST00000102096,Mir707
ENSMUST00000157600,Gm22598
ENSMUST00000178674,Gm22348
ENSMUST00000024993,Prss29
ENSMUST00000175417,Gm25036
ENSMUST00000183597,Mir6903
ENSMUST00000178922,Gm23552
ENSMUST00000096573,Spata24
ENSMUST00000025209,Spata24
ENSMUST00000158971,Nron
ENSMUST00000083879,n-R5s3
ENSMUST00000104110,Gm24127
ENSMUST00000179510,Gm24520
ENSMUST00000082849,Gm22684
ENSMUST00000158687,Gm22257
ENSMUST00000158072,Gm22332
ENSMUST00000115837,Ccdc178
ENSMUST00000025160,Ccdc178
ENSMUST00000087321,Ppp1r3c
ENSMUST00000166898,Gm2564
ENSMUST00000197023,Mir7661
ENSMUST00000158767,Gm23023
ENSMUST00000104432,n-R5s9
ENSMUST00000104810,Gm22008
ENSMUST00000025989,Tm9sf3
ENSMUST00000104221,Gm25416
ENSMUST00000122491,Gm26254
ENSMUST00000060710,Cdc25c
ENSMUST00000183721,Gm27718
ENSMUST00000175420,Gm22183
ENSMUST00000122672,Gm25106
ENSMUST00000177976,Gm25146
ENSMUST00000080234,Rpl27a-ps2
ENSMUST00000097680,Rab18
ENSMUST00000122508,n-R5s73
ENSMUST00000196301,Gm44358
ENSMUST00000178544,Gm26499
ENSMUST00000197332,Mir468
ENSMUST00000083033,Gm24405
ENSMUST00000180004,Btbd35f8
ENSMUST00000102088,Mir710
ENSMUST00000082473,Gm23926
ENSMUST00000180163,Gm24218
ENSMUST00000183849,Mir7666
ENSMUST00000178813,Gm25210
ENSMUST00000104003,Snord64
ENSMUST00000178139,Gm25245
ENSMUST00000158151,Gm26038
ENSMUST00000158643,Mir1961
ENSMUST00000116857,Gm22071
ENSMUST00000025293,Ndfip1
ENSMUST00000104489,Gm24468
ENSMUST00000199232,Gm44482
ENSMUST00000096096,Cep55
ENSMUST00000116506,Cep55
ENSMUST00000169673,Cep55
ENSMUST00000116837,Gm23492
ENSMUST00000158821,Gm22533
ENSMUST00000092041,Ss18
ENSMUST00000040924,Ss18
ENSMUST00000040964,Ss18
ENSMUST00000158509,Gm24767
ENSMUST00000084003,Gm25627
ENSMUST00000184427,Mir7j
ENSMUST00000175261,Gm24154
ENSMUST00000083453,n-R5s85
ENSMUST00000157156,Gm23168
ENSMUST00000025773,Pold4
ENSMUST00000053451,Gm9887
ENSMUST00000158421,Gm26172
ENSMUST00000082483,DQ267102
ENSMUST00000158671,Gm23205
ENSMUST00000197570,Gm44376
ENSMUST00000198153,Mir409
ENSMUST00000122482,n-R5s48
ENSMUST00000178223,Gm24652
ENSMUST00000083458,Gm25894
ENSMUST00000082269,3110018I06Rik
ENSMUST00000200598,Gm44339
ENSMUST00000179352,Mir467a-5
ENSMUST00000158187,Gm22384
ENSMUST00000104313,Gm24230
ENSMUST00000083017,Gm23412
ENSMUST00000157893,Gm24438
ENSMUST00000180019,Gm22307
ENSMUST00000158673,Gm24636
ENSMUST00000053024,Pgp
ENSMUST00000104555,n-R5s16
ENSMUST00000083317,Gm23971
ENSMUST00000166681,Gm17482
ENSMUST00000177909,Gm24952
ENSMUST00000184435,Mir7236
ENSMUST00000122695,Gm24379
ENSMUST00000008626,Rnf151
ENSMUST00000122696,Gm24380
ENSMUST00000197860,Gm22897
ENSMUST00000171469,Gm5819
ENSMUST00000082825,Gm25475
ENSMUST00000172371,Gm340
ENSMUST00000174990,Gm24026
ENSMUST00000183778,Gm27684
ENSMUST00000116960,Snord110
ENSMUST00000066554,Umodl1
ENSMUST00000066981,Umodl1
ENSMUST00000114555,Umodl1
ENSMUST00000158445,Gm24498
ENSMUST00000179309,Gm21732
ENSMUST00000183938,Gm27395
ENSMUST00000180111,Gm25672
ENSMUST00000171339,Gm17430
ENSMUST00000184939,Mir6347
ENSMUST00000082924,Snora43
ENSMUST00000099936,Gm10813
ENSMUST00000176507,Gm26318
ENSMUST00000178017,Gm24487
ENSMUST00000179096,Cypt14
ENSMUST00000158614,Gm22200
ENSMUST00000180197,Btbd35f26
ENSMUST00000175639,Mir1231
ENSMUST00000102354,Mir147
ENSMUST00000116692,Gm24589
ENSMUST00000177878,Gm21788
ENSMUST00000200085,Mir7650
ENSMUST00000104239,Gm24278
ENSMUST00000074298,Slc4a9
ENSMUST00000115694,Slc4a9
ENSMUST00000122726,Gm26026
ENSMUST00000168382,Eif1a
ENSMUST00000078079,Eif1a
ENSMUST00000158456,Gm24002
ENSMUST00000066328,Spinkl
ENSMUST00000102095,Mir450b
ENSMUST00000069616,Tpsb2
ENSMUST00000104213,n-R5s82
ENSMUST00000179470,Gm21028
ENSMUST00000104318,Scarna9
ENSMUST00000175584,Gm26061
ENSMUST00000175431,Mir3112
ENSMUST00000158036,Gm25334
ENSMUST00000180773,Gm26727
ENSMUST00000104509,Gm25346
ENSMUST00000075092,Ndufs8
ENSMUST00000178337,Gm16367
ENSMUST00000117031,Gm23990
ENSMUST00000108782,Gm2348
ENSMUST00000104689,Mir882
ENSMUST00000113255,Gm11115
ENSMUST00000102319,Gm25083
ENSMUST00000003870,Mxi1
ENSMUST00000025998,Mxi1
ENSMUST00000111737,Mxi1
ENSMUST00000179268,Gm26491
ENSMUST00000104430,Gm25496
ENSMUST00000095186,Gm10309
ENSMUST00000178031,Gm22583
ENSMUST00000178103,Gm24797
ENSMUST00000178327,AC133095.1
ENSMUST00000045477,Stk32a
ENSMUST00000040860,Psma8
ENSMUST00000044622,Epg5
ENSMUST00000183949,Gm27522
ENSMUST00000157301,Gm23233
ENSMUST00000098817,Vps37a
ENSMUST00000104086,Gm22786
ENSMUST00000083514,Mir154
ENSMUST00000175573,Mir5136
ENSMUST00000104824,Mir883a
ENSMUST00000183427,Gm27834
ENSMUST00000158561,Gm22948
ENSMUST00000082925,Gm24524
ENSMUST00000178398,Gm24465
ENSMUST00000083785,n-R5s12
ENSMUST00000040261,Macrod1
ENSMUST00000171629,Arhgef37
ENSMUST00000157640,Gm24784
ENSMUST00000122720,Gm23206
ENSMUST00000104632,Gm27450
ENSMUST00000158766,Gm23020
ENSMUST00000083688,Gm24763
ENSMUST00000097954,Gm10577
ENSMUST00000179697,Gm24464
ENSMUST00000157432,Gm26149
ENSMUST00000102033,Gm26504
ENSMUST00000175157,Gm23806
ENSMUST00000175097,Gm24824
ENSMUST00000178266,Gm22632
ENSMUST00000083272,Gm24611
ENSMUST00000084005,Snora2b
ENSMUST00000158797,Gm26008
ENSMUST00000093682,n-R5s58
ENSMUST00000178841,Gm23147
ENSMUST00000122698,Gm24382
ENSMUST00000122804,Gm22452
ENSMUST00000178502,Gm23688
ENSMUST00000157657,Gm23586
ENSMUST00000104728,Mir872
ENSMUST00000179861,Gm24219
ENSMUST00000198820,Gm47288
ENSMUST00000116815,Gm22486
ENSMUST00000183644,Gm27627
ENSMUST00000166044,Kif20a
ENSMUST00000167161,Kif20a
ENSMUST00000104195,Gm22659
ENSMUST00000178055,Gm24641
ENSMUST00000104700,Gm22901
ENSMUST00000198614,Gm44338
ENSMUST00000184793,Mir6769b
ENSMUST00000196643,Gm47299
ENSMUST00000179793,Gm17662
ENSMUST00000184709,Gm27647
ENSMUST00000183970,Gm27306
ENSMUST00000157902,Gm26086
ENSMUST00000183860,Mir7031
ENSMUST00000179110,Gm25354
ENSMUST00000049388,Commd10
ENSMUST00000083501,Mir135b
ENSMUST00000083775,Gm22341
ENSMUST00000177990,Spin2f
ENSMUST00000082543,Gm23404
ENSMUST00000083103,Rn7sk
ENSMUST00000158953,Gm25971
ENSMUST00000158121,Gm23225
ENSMUST00000104371,Gm23175
ENSMUST00000158660,Gm26028
ENSMUST00000083607,Mir24-2
ENSMUST00000116639,Prr16
ENSMUST00000103807,Gm26140
ENSMUST00000178391,Gm21886
