Transcript	Gene
ENSDART00000074747	ENSDARG00000052819
ENSDART00000126798	ENSDARG00000033121
ENSDART00000109872	ENSDARG00000077584
ENSDART00000062350	ENSDARG00000042522
ENSDART00000138431	ENSDARG00000068663
ENSDART00000090191	ENSDARG00000062385
ENSDART00000104304	ENSDARG00000070826
ENSDART00000062957	ENSDARG00000042892
ENSDART00000062359	ENSDARG00000042527
ENSDART00000050949	ENSDARG00000035171
ENSDART00000042194	ENSDARG00000031387
ENSDART00000027957	ENSDARG00000021220
ENSDART00000133789	ENSDARG00000018159
ENSDART00000151136	ENSDARG00000020076
ENSDART00000103123	ENSDARG00000070333
ENSDART00000110737	ENSDARG00000075933
ENSDART00000147707	ENSDARG00000035122
ENSDART00000139265	ENSDARG00000094737
ENSDART00000139148	ENSDARG00000095726
ENSDART00000028940	ENSDARG00000026338
ENSDART00000008215	ENSDARG00000006508
ENSDART00000078401	ENSDARG00000055989
ENSDART00000131220	ENSDARG00000069065
ENSDART00000141265	ENSDARG00000091947
ENSDART00000018117	ENSDARG00000011239
ENSDART00000109083	ENSDARG00000058962
ENSDART00000023944	ENSDARG00000007751
ENSDART00000128070	ENSDARG00000018174
ENSDART00000006021	ENSDARG00000027501
ENSDART00000100605	ENSDARG00000069241
ENSDART00000134255	ENSDARG00000076473
ENSDART00000102384	ENSDARG00000070012
ENSDART00000079019	ENSDARG00000056515
ENSDART00000053187	ENSDARG00000057497
ENSDART00000058742	ENSDARG00000040161
ENSDART00000138028	ENSDARG00000007783
ENSDART00000134584	ENSDARG00000026086
ENSDART00000121813	ENSDARG00000009851
ENSDART00000046382	ENSDARG00000031102
ENSDART00000148595	ENSDARG00000076634
ENSDART00000029599	ENSDARG00000022378
ENSDART00000081379	ENSDARG00000058502
ENSDART00000081827	ENSDARG00000007278
ENSDART00000140665	ENSDARG00000002013
ENSDART00000038642	ENSDARG00000022424
ENSDART00000146436	ENSDARG00000009023
ENSDART00000007642	ENSDARG00000077664
ENSDART00000137896	ENSDARG00000087666
ENSDART00000087643	ENSDARG00000061450
ENSDART00000009076	ENSDARG00000017757
ENSDART00000151667	ENSDARG00000089858
ENSDART00000005897	ENSDARG00000020145
ENSDART00000147767	ENSDARG00000067718
ENSDART00000140482	ENSDARG00000079723
ENSDART00000024866	ENSDARG00000002347
ENSDART00000130917	ENSDARG00000040070
ENSDART00000026178	ENSDARG00000005462
ENSDART00000151865	ENSDARG00000024631
ENSDART00000134915	ENSDARG00000018296
ENSDART00000073707	ENSDARG00000001880
ENSDART00000013605	ENSDARG00000005586
ENSDART00000025877	ENSDARG00000003927
ENSDART00000060628	ENSDARG00000041362
ENSDART00000021491	ENSDARG00000006125
ENSDART00000150023	ENSDARG00000016963
ENSDART00000085009	ENSDARG00000060380
ENSDART00000052907	ENSDARG00000093003
ENSDART00000079012	ENSDARG00000005274
ENSDART00000111156	ENSDARG00000076308
ENSDART00000135032	ENSDARG00000092651
ENSDART00000054337	ENSDARG00000034975
ENSDART00000140546	ENSDARG00000063625
ENSDART00000043069	ENSDARG00000032552
ENSDART00000023971	ENSDARG00000005392
ENSDART00000143248	ENSDARG00000070122
ENSDART00000127383	ENSDARG00000014003
ENSDART00000020946	ENSDARG00000007885
ENSDART00000063287	ENSDARG00000043105
ENSDART00000138483	ENSDARG00000095174
ENSDART00000135392	ENSDARG00000094602
ENSDART00000064657	ENSDARG00000044039
ENSDART00000149755	ENSDARG00000020326
ENSDART00000109104	ENSDARG00000075461
ENSDART00000124649	ENSDARG00000054374
ENSDART00000124341	ENSDARG00000092924
ENSDART00000098563	ENSDARG00000068246
ENSDART00000055500	ENSDARG00000038072
ENSDART00000147108	ENSDARG00000092705
ENSDART00000132466	ENSDARG00000074575
ENSDART00000105955	ENSDARG00000071594
ENSDART00000111565	ENSDARG00000075672
ENSDART00000099702	ENSDARG00000061908
ENSDART00000009217	ENSDARG00000011072
