"","seqnames","start","freq","utr5_len","ss"
"1","ENSMUST00000000001",169,1,141,27
"2","ENSMUST00000000001",406,1,141,264
"3","ENSMUST00000000001",427,1,141,285
"4","ENSMUST00000000001",745,2,141,603
"5","ENSMUST00000000001",964,1,141,822
"7","ENSMUST00000000028",332,1,313,18
"8","ENSMUST00000000028",434,1,313,120
"9","ENSMUST00000000028",500,1,313,186
"10","ENSMUST00000000028",731,1,313,417
"11","ENSMUST00000000028",1463,1,313,1149
"12","ENSMUST00000000033",314,1,115,198
"13","ENSMUST00000000080",265,1,150,114
"14","ENSMUST00000000080",271,1,150,120
"15","ENSMUST00000000080",433,1,150,282
"16","ENSMUST00000000080",484,1,150,333
"17","ENSMUST00000000080",964,1,150,813
"18","ENSMUST00000000090",229,1,96,132
"19","ENSMUST00000000090",277,1,96,180
"20","ENSMUST00000000090",382,1,96,285
"21","ENSMUST00000000129",522,1,59,462
"22","ENSMUST00000000129",2268,1,59,2208
"24","ENSMUST00000000137",170,1,61,108
"25","ENSMUST00000000137",920,1,61,858
"27","ENSMUST00000000175",82,1,60,21
"28","ENSMUST00000000175",250,1,60,189
"29","ENSMUST00000000188",711,1,275,435
"30","ENSMUST00000000188",798,1,275,522
"31","ENSMUST00000000188",1098,1,275,822
"32","ENSMUST00000000188",1131,1,275,855
"35","ENSMUST00000000199",378,1,356,21
"36","ENSMUST00000000199",501,1,356,144
"37","ENSMUST00000000199",522,1,356,165
"38","ENSMUST00000000199",570,1,356,213
"39","ENSMUST00000000266",581,1,124,456
"40","ENSMUST00000000266",1211,1,124,1086
"44","ENSMUST00000000284",639,1,113,525
"45","ENSMUST00000000284",804,1,113,690
"46","ENSMUST00000000284",843,1,113,729
"47","ENSMUST00000000284",1074,1,113,960
"48","ENSMUST00000000284",1101,1,113,987
"50","ENSMUST00000000287",223,1,96,126
"51","ENSMUST00000000287",577,1,96,480
"52","ENSMUST00000000287",595,1,96,498
"53","ENSMUST00000000287",601,1,96,504
"54","ENSMUST00000000287",862,1,96,765
"55","ENSMUST00000000287",1144,1,96,1047
"56","ENSMUST00000000287",1399,1,96,1302
"57","ENSMUST00000000291",1025,1,409,615
"58","ENSMUST00000000291",2177,1,409,1767
"60","ENSMUST00000000304",190,1,33,156
"61","ENSMUST00000000305",405,1,191,213
"62","ENSMUST00000000305",453,1,191,261
"63","ENSMUST00000000312",802,1,144,657
"64","ENSMUST00000000312",1636,1,144,1491
"65","ENSMUST00000000312",2128,1,144,1983
"66","ENSMUST00000000312",2131,1,144,1986
"67","ENSMUST00000000312",2563,1,144,2418
"68","ENSMUST00000000335",577,1,87,489
"69","ENSMUST00000000335",793,1,87,705
"71","ENSMUST00000000348",358,1,219,138
"72","ENSMUST00000000348",364,1,219,144
"73","ENSMUST00000000348",778,1,219,558
"76","ENSMUST00000000349",1479,1,71,1407
"77","ENSMUST00000000349",1482,1,71,1410
"79","ENSMUST00000000356",301,1,84,216
"80","ENSMUST00000000365",129,1,113,15
"81","ENSMUST00000000365",132,1,113,18
"82","ENSMUST00000000365",525,1,113,411
"83","ENSMUST00000000388",183,1,113,69
"84","ENSMUST00000000394",547,1,207,339
"85","ENSMUST00000000394",556,1,207,348
"86","ENSMUST00000000394",571,1,207,363
"87","ENSMUST00000000394",595,1,207,387
"88","ENSMUST00000000394",742,1,207,534
"89","ENSMUST00000000394",961,1,207,753
"90","ENSMUST00000000394",967,1,207,759
"91","ENSMUST00000000394",1078,1,207,870
"92","ENSMUST00000000394",2008,1,207,1800
"93","ENSMUST00000000394",2020,1,207,1812
"94","ENSMUST00000000430",582,1,335,246
"95","ENSMUST00000000430",912,1,335,576
"96","ENSMUST00000000430",1326,1,335,990
"97","ENSMUST00000000430",1515,1,335,1179
"98","ENSMUST00000000430",1581,1,335,1245
"99","ENSMUST00000000449",225,1,50,174
"100","ENSMUST00000000449",1290,1,50,1239
"101","ENSMUST00000000451",463,1,426,36
"102","ENSMUST00000000451",526,1,426,99
"103","ENSMUST00000000451",946,1,426,519
"104","ENSMUST00000000451",1570,1,426,1143
"105","ENSMUST00000000451",1627,1,426,1200
"106","ENSMUST00000000451",1630,1,426,1203
"107","ENSMUST00000000466",164,2,142,21
"108","ENSMUST00000000466",299,1,142,156
"109","ENSMUST00000000466",752,1,142,609
"110","ENSMUST00000000466",758,1,142,615
"111","ENSMUST00000000466",761,1,142,618
"112","ENSMUST00000000476",300,1,179,120
"113","ENSMUST00000000476",1434,1,179,1254
"114","ENSMUST00000000476",1515,1,179,1335
"115","ENSMUST00000000476",1695,1,179,1515
"116","ENSMUST00000000476",1713,1,179,1533
"117","ENSMUST00000000476",3384,1,179,3204
"118","ENSMUST00000000500",1177,1,810,366
"120","ENSMUST00000000505",823,1,666,156
