Entry	Gene names
A0A024RDY2	TPT1 hCG_32792
A0A0B4J2C3	TPT1 hCG_32792
E9PJF7	TPT1
H0YCX0	TPT1
J3KPG2	TPT1
P13693	TPT1
Q5W0H4	TPT1
A0A087WTA8	COL1A2
A0A0S2Z3H5	COL1A2
A0A0S2Z3K0	COL1A2
A0A384MDU2	COL1A2 hCG_1686428
A2TIK1	COL1A2
P08123	COL1A2
Q14036	COL1A2
Q16033	COL1A2
Q16452	COL1A2
Q75N18	COL1A2
Q7KZ71	COL1A2
A0A087WUS0	RPS24
A0A2R8Y849	RPS24
A0A2R8Y8A0	RPS24
A0A2R8YD14	RPS24 hCG_22610
E7ETK0	RPS24
P62847	RPS24
A0A087WVZ1	DDX3X
A0A087WX09	DDX3X
A0A0D9SF53	DDX3X
A0A0D9SFB3	DDX3X
A0A0D9SG12	DDX3X
A0A0J9YVQ7	DDX3X
A0A2R8Y4A4	DDX3X
A0A2R8Y4D2	DDX3X
A0A2R8Y5G6	DDX3X
A0A2R8Y645	DDX3X
A0A2R8Y650	DDX3X
A0A2R8Y770	DDX3X
A0A2R8Y7T2	DDX3X
A0A2R8YCU0	DDX3X
A0A2R8YCW1	DDX3X
A0A2R8YDH3	DDX3X
A0A2R8YDT5	DDX3X
A0A2R8YF31	DDX3X
A0A2R8YF78	DDX3X
A0A2R8YF89	DDX3X
A0A2R8YFR4	DDX3X
A0A2R8YFS5	DDX3X
A0A2R8YGJ1	DDX3X
A0A2U3TZJ9	DDX3X
B5BTY4	DDX3X
F6S8Q4	DDX3X
O00571	DDX3X DBX DDX3
D6RBW1	EIF4E
D6RFJ3	EIF4E
H0Y8J7	EIF4E
P06730	EIF4E EIF4EL1 EIF4F
Q32Q75	EIF4E
X5D7E3	EIF4E
P49915	GMPS
A0A087WYL7	MED6
B4DTY4	MED6
G3V4A5	MED6
O75586	MED6 ARC33
J3KRG5	YTHDC1
J3KRW0	YTHDC1
J3KS01	YTHDC1
J3QR07	YTHDC1
L0R8L2	YTHDC1
Q96MU7	YTHDC1 KIAA1966 YT521
A0A024R889	SPTAN1 hCG_41038
A0A0D9SF54	SPTAN1
A0A0D9SFF6	SPTAN1
A0A0D9SFH4	SPTAN1
A0A0D9SGF6	SPTAN1
A0A1B0GTB7	SPTAN1
A0A1B0GTD1	SPTAN1
A0A1B0GUH3	SPTAN1
A0A1B0GUN2	SPTAN1
A0A1B0GV13	SPTAN1
A0A1B0GW19	SPTAN1
A0A1B0GWE2	SPTAN1
Q13813	SPTAN1 NEAS SPTA2
Q14917	SPTAN1
M0QY67	ETFB
P38117	ETFB FP585
E7EQR6	TCP1
E7ERF2	TCP1
F5GYL4	TCP1
F5GZ03	TCP1
F5GZI8	TCP1
F5H136	TCP1
F5H282	TCP1
F5H676	TCP1
F5H726	TCP1
F5H7Y1	TCP1
P17987	TCP1 CCT1 CCTA
A0A0S2Z3F9	CDK7 hCG_1988840
D6R9G1	CDK7
D6R9Z2	CDK7
D6RAD4	CDK7
D6REC6	CDK7
D6RF14	CDK7
D6RFL0	CDK7
D6RGG9	CDK7
D6RI01	CDK7
D6RIG9	CDK7
P50613	CDK7 CAK CAK1 CDKN7 MO15 STK1
B8ZZU9	MTHFD2
B9A062	MTHFD2
F8WF06	MTHFD2
F8WF89	MTHFD2
P13995	MTHFD2 NMDMC
B7Z1G8	SURF4 hCG_28148
O15260	SURF4 SURF-4
Q5T8U5	SURF4 RP11-244N20.4-004
Q5T8U7	SURF4 RP11-244N20.4-002
A0A0S2Z5B8	DCTN4
A0A0S2Z5D4	DCTN4
A0A0S2Z5D5	DCTN4
E5RGG1	DCTN4
E5RI97	DCTN4
E5RK21	DCTN4
H9KVE0	DCTN4
Q9UJW0	DCTN4
A0A024QZS1	MOCS2 hCG_40684
E9PKT9	MOCS2
O96007	MOCS2 MCBPE MOCO1
O96033	MOCS2 MOCO1
B1AP63	LPAR1
Q6GPG7	LPAR1
Q92633	LPAR1 EDG2 LPA1
A0A024RB14	RPS26 hCG_2015359 hCG_20716
P62854	RPS26
Q75MH1	RPS26 LOC285938 hCG_1745083 tcag7.125
A0A0A0MSJ0	DDX42
J3KRE3	DDX42
J3KRV0	DDX42
J3KTK9	DDX42
J3QRI2	DDX42
Q86XP3	DDX42
A0PJ56	MAK16
H0YBV6	MAK16
Q9BXY0	MAK16 RBM13
A0A024R8R0	SAP30BP hCG_27541
F5H478	SAP30BP
J3KRR6	SAP30BP
J3KRU5	SAP30BP hCG_27541
J3KS14	SAP30BP
J3QKW0	SAP30BP
J3QLH3	SAP30BP
J3QLM2	SAP30BP
J3QQJ0	SAP30BP
J3QS04	SAP30BP
Q9UHR5	SAP30BP HCNGP HTRG HTRP
X6R3T8	SAP30BP
A0A024RAD5	DDOST hCG_38871
A0A0C4DGS1	DDOST
P39656	DDOST KIAA0115 OST48 OK/SW-cl.45
U3KQ84	DDOST
A2BDD9	AMOT
A6NP16	AMOT
E7ERM3	AMOT
Q4VCS5	AMOT KIAA1071
A0A087WW66	PSMD1
C9J9M4	PSMD1
F8WCE3	PSMD1
H7BZR6	PSMD1
H7C378	PSMD1
Q05BX4	PSMD1
Q05CW6	PSMD1
Q99460	PSMD1
D6R9F8	TARS
D6RBR8	TARS
D6RCA5	TARS
D6RCS6	TARS
D6RDJ6	TARS
D6RHV7	TARS
D6RJ97	TARS
P26639	TARS
Q5M7Z9	TARS
A0A024RBS2	RPLP0 hCG_2016152
F8VPE8	RPLP0
F8VQY6	RPLP0
F8VRK7	RPLP0
F8VS58	RPLP0
F8VU65	RPLP0
F8VW21	RPLP0
F8VWS0	RPLP0
F8VWV4	RPLP0
F8VYN4	RPLP0
F8VZS0	RPLP0
F8W1K8	RPLP0
G3V210	RPLP0 hCG_2016152
P05388	RPLP0
Q3MHV2	RPLP0
Q6NSF2	RPLP0
A0A087WXY1	LARS
Q0VGM8	LARS
Q6NVI4	LARS
Q9P2J5	LARS KIAA1352
A0A087WVP1	FAT1
D6RCE4	FAT1
D6RHE6	FAT1
H0Y8F5	FAT1
H0Y9C8	FAT1
H0Y9H4	FAT1
L8E7S1	FAT1
Q14517	FAT1 CDHF7 FAT
A5XEH4	MYH10
E7ERA5	MYH10
G1UI33	MYH10
P35580	MYH10
B7WPG3	HNRNPLL
C9IYN3	HNRNPLL HNRPLL hCG_15881
C9JJZ7	HNRNPLL
D6W592	HNRNPLL HNRPLL hCG_15881
H7BXH8	HNRNPLL
H7C464	HNRNPLL
Q8WVV9	HNRNPLL HNRPLL SRRF BLOCK24
P00403	MT-CO2 COII COX2 COXII MTCO2
D6RAE9	SFXN1
D6RDG7	SFXN1
D6RFI0	SFXN1
H0Y9J5	SFXN1
Q9H9B4	SFXN1
S4R2X2	SFXN1
A0A024R6W3	CBFB hCG_28838
A0A024R6X2	CBFB hCG_28838
H3BSC0	CBFB
J3KRT0	CBFB
J3KS23	CBFB
J3KTD8	CBFB
Q13951	CBFB
K7EJD0	PLIN3
K7EL96	PLIN3
K7ER39	PLIN3
K7ERZ3	PLIN3
O60664	PLIN3 M6PRBP1 TIP47
A0A0K0K1K7	HEL-S-304 PGLS hCG_1778174
M0R0U3	PGLS
M0R1L2	PGLS
M0R261	PGLS
O95336	PGLS
E9PFK5	NOP14
P78316	NOP14 C4orf9 NOL14 RES4-25
Q96GC8	NOP14
A0A087WZK9	EIF3H EIF3S3
B3KS98	EIF3H EIF3S3 hCG_20900
E5RFH0	EIF3H
E5RFW7	EIF3H
E5RGU4	EIF3H
E5RH59	EIF3H
E5RHC7	EIF3H
E5RJT0	EIF3H
O15372	EIF3H EIF3S3
Q5BKY2	EIF3H EIF3S3
Q6IB98	EIF3S3 EIF3H hCG_20900
A0A1W2PQS1	PSMC2
C9JLS9	PSMC2
P35998	PSMC2 MSS1
Q75L23	PSMC2
A0A024RD93	PAICS hCG_2027161
D6RF62	PAICS hCG_2027161
E9PBS1	PAICS
P22234	PAICS ADE2 AIRC PAIS
G1UI16	PDS5A SCC-112 hCG_38551
H0Y9L6	PDS5A
H0Y9L9	PDS5A
H0Y9X6	PDS5A
Q29RF7	PDS5A KIAA0648 PDS5 PIG54
Q96DB6	PDS5A
A0A0G2JRV3	SMARCB1
A0A0G2JSE9	SMARCB1
A0A0U1RQQ2	SMARCB1
A0A0U1RRB8	SMARCB1
A0A2R8Y5N5	SMARCB1
A0A2R8Y5Z2	SMARCB1
A0A2R8YDN6	SMARCB1
A0A2R8YEE8	SMARCB1
B5MCL5	SMARCB1
C9JTA6	SMARCB1
G5E975	SMARCB1 hCG_41099
Q12824	SMARCB1 BAF47 INI1 SNF5L1
Q6Q321	SMARCB1
Q86WI6	SMARCB1
Q86WI7	SMARCB1
Q86WI8	SMARCB1
F8WEH2	TRA2A
Q13595	TRA2A
Q549U1	HSU53209 TRA2A hCG_37979
F5H459	AP3S1
Q92572	AP3S1 CLAPS3
A0A0A0MTC2	TUSC3
D6RA37	TUSC3
D6RDV0	TUSC3
D6RIY7	TUSC3
Q13454	TUSC3 N33
Q6Q319	TUSC3
Q6Q320	TUSC3
Q6QQE4	TUSC3
I3L1U9	ACTG1
I3L3I0	ACTG1
I3L3R2	ACTG1
I3L4N8	ACTG1
J3KT65	ACTG1
K7EM38	ACTG1
P63261	ACTG1 ACTG
Q6PJ43	ACTG1
Q96FU6	ACTG1
B3KRN7	MAEA hCG_1646851
B4DQT1	MAEA
B4DVN3	MAEA
D3DVP1	MAEA hCG_1646851
D3DVP3	MAEA hCG_1646851
D3DVP6	MAEA hCG_1646851
D6R8Z3	MAEA
D6RA86	MAEA
D6RDW4	MAEA
D6RE80	MAEA
D6REW7	MAEA
D6RIB6	MAEA
D6RID6	MAEA
E7ESC7	MAEA
Q7L5Y9	MAEA EMP HLC10 PIG5
O75940	SMNDC1 SMNR SPF30
P22314	UBA1 A1S9T UBE1
Q5JRR6	UBA1
Q5JRR9	UBA1
Q5JRS0	UBA1
Q5JRS1	UBA1
Q5JRS2	UBA1
Q5JRS3	UBA1
A0A0S2Z534	SLC39A14 hCG_15998
A0A0S2Z5B1	SLC39A14
A0A0S2Z5C8	SLC39A14
A0A0S2Z5Z7	SLC39A14
E5RFF5	SLC39A14
E5RFT1	SLC39A14
E5RFZ8	SLC39A14
E5RGA7	SLC39A14
E5RIP4	SLC39A14
E5RJ40	SLC39A14
E5RJG5	SLC39A14
Q15043	SLC39A14 KIAA0062 ZIP14
Q16222	UAP1 SPAG2
H7C581	EXOSC8
H7C5Z2	EXOSC8
Q96B26	EXOSC8 OIP2 RRP43
A0A024R821	EIF3S9 EIF3B hCG_1998988
A4D210	EIF3S9 EIF3B hCG_1998988 tcag7.544
B4DV79	EIF3B EIF3S9
B4DXN6	EIF3B EIF3S9
C9JQN7	EIF3B
C9JZG1	EIF3B
P55884	EIF3B EIF3S9
Q96G38	EIF3B
P17174	GOT1
P61326	MAGOH MAGOHA
A0A087WY55	VTA1 C6orf55 hCG_18120
Q5TGM0	VTA1
Q9NP79	VTA1 C6orf55 HSPC228 My012
J3KTI2	MIEN1
Q9BRT3	MIEN1 C17orf37 RDX12 XTP4
A0A024R4F1	ENO1 HEL-S-17 hCG_22399
A0A2R8Y6G6	ENO1
A0A2R8Y6I8	ENO1
A0A2R8Y798	ENO1
A0A2R8Y879	ENO1
A0A2R8YEG5	ENO1
A0A2R8YEM5	ENO1
A4QMW8	ENO1
K7EM90	ENO1
K7ERS8	ENO1
P06733	ENO1 ENO1L1 MBPB1 MPB1
Q8WTX0	NOCT CCRN4L hCG_1735627
Q9UK39	NOCT CCR4 CCRN4L NOC
H0YKK6	PSME1
H0YLU2	PSME1
Q06323	PSME1 IFI5111
Q6FHU3	PSME1
P80723	BASP1 NAP22
U3KQP0	BASP1
I3L0S4	TNFRSF12A
I3L1J9	TNFRSF12A
I3L3P4	TNFRSF12A
I3L539	TNFRSF12A
Q9NP84	TNFRSF12A FN14
A0A024RBE5	NEDD1 hCG_33123
G3V2M9	NEDD1
G3V2S2	NEDD1
G3V2V3	NEDD1
G3V4I9	NEDD1
G3V4L2	NEDD1
Q05CT8	NEDD1
Q8NHV4	NEDD1
B2R7W3	BCAS2 hCG_38455
O75934	BCAS2 DAM1
A0A024R0E2	CSDE1 hCG_38456
A0A024R0K2	CSDE1 hCG_38456
A0A1Y8EMC9	CSDE1
E9PJK7	CSDE1
E9PKN4	CSDE1
E9PLD4	CSDE1
E9PLT0	CSDE1
E9PNG3	CSDE1
O75534	CSDE1 D1S155E KIAA0885 NRU UNR
Q8WU01	CSDE1
A0A060KS66	RNaseK
A0A087WSZ8	RNASEK
A0A0C4DH85	RNASEK
A0A0C4DH89	RNASEK
A0A1L2BPI1	RNASEK
A0A1L2BPI6	RNASEK
A0A1L2BPJ0	RNASEK
A0A3Q7ZYN9	RNASEK
A0A3Q7ZZZ6	RNASEK
A0A3S6CYT1	RNASEK
A0A3S7I545	RNASEK
F8W1G5	RNASEK
H0YIM4	RNASEK
H0YIU3	RNASEK
Q6P5S7	RNASEK
F8WBU4	DRG1 SFI1
F8WEE0	DRG1
H0YI06	DRG1
Q92597	NDRG1 CAP43 DRG1 RTP
Q9Y295	DRG1 NEDD3
A0A0S2Z4Z0	RBM14
A0A0S2Z567	RBM14
A0A0S2Z5V2	RBM14
B8ZZ74	RBM14
F8WDX3	RBM14
Q96PK6	RBM14 SIP
B0LPF3	GRB2 hCG_27179
J3KT38	GRB2
J3QLF6	GRB2
J3QRL5	GRB2
P62993	GRB2 ASH
Q6ICN0	GRB2
C9J365	SSR3
C9JA28	SSR3
Q9UNL2	SSR3 TRAPG
E2J9M0	PTPN14
Q15678	PTPN14 PEZ PTPD2
Q6PJC3	PTPN14
E9PJC6	AHNAK
E9PJZ0	AHNAK
E9PKR9	AHNAK
E9PLK4	AHNAK
E9PQE3	AHNAK
Q09666	AHNAK PM227
Q96EC4	AHNAK
Q9BVU3	AHNAK
G3V3W9	AHSA1
G3V438	AHSA1
H0YJ63	AHSA1
H0YJG7	AHSA1
