"","seqnames","start","freq","utr5_len","ss"
"2","ENST00000000233",203,1,154,48
"3","ENST00000000233",239,1,154,84
"4","ENST00000000233",326,1,154,171
"5","ENST00000000233",359,1,154,204
"6","ENST00000000233",536,1,154,381
"7","ENST00000000412",599,1,469,129
"8","ENST00000000412",905,1,469,435
"10","ENST00000001008",206,1,187,18
"11","ENST00000001008",371,1,187,183
"12","ENST00000001008",380,1,187,192
"13","ENST00000001008",1469,1,187,1281
"14","ENST00000002165",291,1,56,234
"15","ENST00000002165",297,1,56,240
"16","ENST00000002165",321,1,56,264
"17","ENST00000002165",624,1,56,567
"18","ENST00000002165",834,1,56,777
"19","ENST00000002165",1176,1,56,1119
"20","ENST00000002165",1260,2,56,1203
"21","ENST00000003100",401,1,166,234
"22","ENST00000003100",548,1,166,381
"23","ENST00000003100",1127,1,166,960
"24","ENST00000003100",1415,1,166,1248
"25","ENST00000003100",1454,1,166,1287
"26","ENST00000003100",1610,1,166,1443
"28","ENST00000004982",277,1,21,255
"29","ENST00000005178",1234,1,198,1035
"34","ENST00000005386",132,1,116,15
"35","ENST00000005386",360,1,116,243
"36","ENST00000005386",2055,1,116,1938
"39","ENST00000007264",154,1,135,18
"40","ENST00000007264",181,1,135,45
"41","ENST00000007516",211,2,66,144
"42","ENST00000007516",337,1,66,270
"43","ENST00000007516",400,1,66,333
"44","ENST00000007722",721,1,0,720
"45","ENST00000007722",724,1,0,723
"46","ENST00000007722",1333,1,0,1332
"47","ENST00000007722",1336,1,0,1335
"48","ENST00000007722",2302,1,0,2301
"50","ENST00000008180",110,1,85,24
"52","ENST00000009180",226,1,51,174
"54","ENST00000009589",151,1,123,27
"55","ENST00000009589",256,1,123,132
"56","ENST00000010404",231,1,65,165
"57","ENST00000011473",348,1,47,300
"58","ENST00000011691",285,1,92,192
"59","ENST00000011898",207,2,161,45
"61","ENST00000012049",486,1,221,264
"62","ENST00000012443",260,1,103,156
"63","ENST00000012443",494,1,103,390
"64","ENST00000012443",704,1,103,600
"65","ENST00000012443",737,1,103,633
"66","ENST00000012443",1217,1,103,1113
"67","ENST00000012443",1271,1,103,1167
"68","ENST00000012443",1337,1,103,1233
"69","ENST00000012443",1586,1,103,1482
"70","ENST00000013034",300,1,209,90
"71","ENST00000013034",408,1,209,198
"72","ENST00000013125",1028,1,319,708
"74","ENST00000013807",640,1,192,447
"75","ENST00000013807",994,1,192,801
"76","ENST00000014914",909,1,890,18
"77","ENST00000014914",1068,1,890,177
"78","ENST00000014914",1365,1,890,474
"79","ENST00000014914",1944,1,890,1053
"80","ENST00000014930",238,1,159,78
"81","ENST00000014930",511,1,159,351
"82","ENST00000014935",1290,1,794,495
"83","ENST00000014935",1329,1,794,534
"84","ENST00000014935",1332,1,794,537
"85","ENST00000014935",1347,1,794,552
"86","ENST00000019019",526,1,429,96
"87","ENST00000019019",724,1,429,294
"89","ENST00000022615",99,1,68,30
"90","ENST00000022615",297,1,68,228
"91","ENST00000022615",333,1,68,264
"92","ENST00000022615",711,1,68,642
"93","ENST00000023939",129,1,113,15
"94","ENST00000023939",138,1,113,24
"95","ENST00000023939",144,2,113,30
"96","ENST00000023939",282,1,113,168
"97","ENST00000023939",726,1,113,612
"98","ENST00000023939",729,1,113,615
"99","ENST00000023939",885,1,113,771
"100","ENST00000025399",390,1,314,75
"101","ENST00000025399",546,1,314,231
"102","ENST00000025399",561,1,314,246
"103","ENST00000025399",588,1,314,273
"104","ENST00000025399",612,2,314,297
"105","ENST00000025399",990,1,314,675
"106","ENST00000025399",1179,1,314,864
"107","ENST00000025399",1392,1,314,1077
"108","ENST00000031146",1093,1,678,414
"109","ENST00000031146",1183,1,678,504
"110","ENST00000037243",158,1,136,21
"111","ENST00000037243",347,1,136,210
"112","ENST00000037243",440,1,136,303
"114","ENST00000039989",354,1,14,339
"115","ENST00000039989",474,1,14,459
"116","ENST00000039989",1080,1,14,1065
"117","ENST00000039989",1158,1,14,1143
"118","ENST00000039989",1587,1,14,1572
"119","ENST00000039989",1590,1,14,1575
"121","ENST00000040663",1121,1,40,1080
"123","ENST00000044462",328,1,150,177
"124","ENST00000044462",391,1,150,240
"125","ENST00000052569",262,1,240,21
"126","ENST00000052569",724,1,240,483
"127","ENST00000052754",743,1,502,240
"128","ENST00000053468",482,1,16,465
"129","ENST00000053468",485,1,16,468
"131","ENST00000053867",111,1,62,48
"132","ENST00000053867",165,1,62,102
"133","ENST00000053867",210,1,62,147
"134","ENST00000053867",384,1,62,321
"135","ENST00000053867",444,1,62,381
"136","ENST00000053867",849,2,62,786
"137","ENST00000053867",1134,1,62,1071
"138","ENST00000054666",143,1,115,27
"139","ENST00000054666",359,1,115,243
"140","ENST00000054950",558,2,293,264
"141","ENST00000054950",561,1,293,267
"142","ENST00000054950",681,1,293,387
"143","ENST00000054950",1278,1,293,984
"144","ENST00000054950",1281,1,293,987
"146","ENST00000055077",119,1,61,57
"147","ENST00000055077",293,1,61,231
"148","ENST00000055077",485,1,61,423
"149","ENST00000055077",488,1,61,426
"150","ENST00000055077",584,1,61,522
"151","ENST00000060969",95,1,70,24
"152","ENST00000060969",98,2,70,27
"153","ENST00000060969",101,1,70,30
"154","ENST00000060969",107,1,70,36
"155","ENST00000066544",521,1,94,426
"156","ENST00000066544",905,1,94,810
"157","ENST00000075120",263,1,241,21
"158","ENST00000075322",1569,1,59,1509
"160","ENST00000078429",264,1,242,21
"161","ENST00000078429",276,1,242,33
"162","ENST00000081029",618,1,71,546
"163","ENST00000081029",633,1,71,561
"164","ENST00000081029",930,1,71,858
"165","ENST00000157812",223,1,198,24
"166","ENST00000157812",226,3,198,27
"167","ENST00000157812",244,1,198,45
"168","ENST00000157812",490,1,198,291
"169","ENST00000157812",1300,1,198,1101
"170","ENST00000158526",551,1,460,90
"171","ENST00000158771",186,1,56,129
"172","ENST00000158771",291,1,56,234
"173","ENST00000158771",636,1,56,579
"174","ENST00000160827",68,1,40,27
"175","ENST00000160827",278,1,40,237
"176","ENST00000160827",1175,1,40,1134
"177","ENST00000162749",817,1,300,516
"178","ENST00000163416",608,1,256,351
"179","ENST00000163416",611,1,256,354
"181","ENST00000166139",231,1,59,171
"182","ENST00000166139",486,1,59,426
"183","ENST00000166139",837,1,59,777
"184","ENST00000166345",462,1,356,105
"185","ENST00000166345",531,1,356,174
"186","ENST00000166345",675,1,356,318
"188","ENST00000166534",262,1,222,39
"189","ENST00000166534",433,1,222,210
"190","ENST00000166534",610,1,222,387
"191","ENST00000166534",1393,1,222,1170
"192","ENST00000166534",1822,1,222,1599
"193","ENST00000167218",119,1,64,54
"194","ENST00000167218",317,1,64,252
"195","ENST00000167218",533,1,64,468
"198","ENST00000168216",350,1,28,321
"199","ENST00000168216",353,1,28,324
"200","ENST00000169293",413,1,325,87
"201","ENST00000169293",464,1,325,138
"202","ENST00000169293",1238,1,325,912
"205","ENST00000175091",638,1,508,129
"206","ENST00000175506",707,1,529,177
"207","ENST00000175506",764,1,529,234
"208","ENST00000175506",1409,1,529,879
"209","ENST00000175506",1676,1,529,1146
"210","ENST00000175506",1826,1,529,1296
"211","ENST00000175506",2192,1,529,1662
"212","ENST00000176643",1095,1,446,648
"213","ENST00000176643",1101,1,446,654
"214","ENST00000177742",53,1,31,21
"215","ENST00000177742",377,1,31,345
"216","ENST00000177742",461,1,31,429
"217","ENST00000177742",656,1,31,624
"218","ENST00000179259",119,1,67,51
"219","ENST00000179259",848,1,67,780
"220","ENST00000182527",67,1,0,66
"221","ENST00000182527",343,1,0,342
"222","ENST00000182527",445,1,0,444
"223","ENST00000184266",67,1,51,15
"224","ENST00000184266",73,1,51,21
"225","ENST00000184266",379,1,51,327
"226","ENST00000185150",1431,1,131,1299
"227","ENST00000188312",895,1,765,129
"229","ENST00000188376",370,1,354,15
"230","ENST00000188376",403,1,354,48
"231","ENST00000188790",2189,1,208,1980
"232","ENST00000190983",162,1,146,15
"233","ENST00000191018",305,1,85,219
"234","ENST00000191018",497,1,85,411
"235","ENST00000191018",1163,1,85,1077
"236","ENST00000191018",1517,1,85,1431
"237","ENST00000193322",918,1,86,831
"238","ENST00000193403",430,1,384,45
"239","ENST00000193403",433,1,384,48
"240","ENST00000193403",661,1,384,276
"241","ENST00000193403",796,1,384,411
"242","ENST00000193403",862,1,384,477
"243","ENST00000193403",865,1,384,480
"244","ENST00000193403",2323,1,384,1938
"245","ENST00000193403",2836,2,384,2451
"246","ENST00000193403",2902,2,384,2517
"249","ENST00000196061",100,2,27,72
"250","ENST00000196061",133,1,27,105
"251","ENST00000196061",184,1,27,156
"252","ENST00000196061",298,2,27,270
"253","ENST00000196061",598,1,27,570
"254","ENST00000196061",655,1,27,627
"255","ENST00000196061",988,1,27,960
"256","ENST00000196061",1462,1,27,1434
"257","ENST00000196061",1519,1,27,1491
"258","ENST00000196371",279,1,161,117
"259","ENST00000196371",291,1,161,129
"260","ENST00000196371",372,1,161,210
"261","ENST00000196371",690,1,161,528
"263","ENST00000196551",97,1,72,24
"264","ENST00000198765",224,1,58,165
"265","ENST00000198765",305,1,58,246
"266","ENST00000198765",620,1,58,561
"267","ENST00000198765",1067,1,58,1008
"268","ENST00000198767",190,1,84,105
"269","ENST00000198767",199,1,84,114
"270","ENST00000198767",952,1,84,867
"271","ENST00000199320",300,1,161,138
"272","ENST00000199320",897,1,161,735
"273","ENST00000199320",1047,1,161,885
"274","ENST00000199389",496,1,147,348
"275","ENST00000199389",541,1,147,393
"276","ENST00000199389",610,1,147,462
"278","ENST00000199706",319,1,36,282
"279","ENST00000199706",370,1,36,333
"280","ENST00000199706",394,1,36,357
"281","ENST00000199706",604,1,36,567
"282","ENST00000199706",739,1,36,702
"283","ENST00000199706",742,1,36,705
"285","ENST00000199814",156,1,122,33
"286","ENST00000199814",309,1,122,186
"287","ENST00000200457",715,1,360,354
"288","ENST00000200457",1171,1,360,810
"289","ENST00000200457",1591,1,360,1230
"290","ENST00000200457",1627,1,360,1266
"291","ENST00000200639",690,1,137,552
"292","ENST00000200639",711,1,137,573
"294","ENST00000202017",525,1,131,393
"295","ENST00000202773",80,1,55,24
"296","ENST00000202773",83,1,55,27
"297","ENST00000202773",278,1,55,222
"298","ENST00000202773",521,1,55,465
"299","ENST00000202773",545,1,55,489
"300","ENST00000202773",548,1,55,492
"301","ENST00000202773",764,2,55,708
"302","ENST00000202834",414,1,158,255
"304","ENST00000203407",523,1,417,105
"305","ENST00000203407",556,1,417,138
"306","ENST00000203407",883,1,417,465
"307","ENST00000203407",1462,1,417,1044
"308","ENST00000203407",1816,1,417,1398
"309","ENST00000203630",682,1,645,36
"310","ENST00000203630",697,2,645,51
"311","ENST00000203630",907,1,645,261
"312","ENST00000203630",1036,1,645,390
"314","ENST00000204566",318,1,296,21
"315","ENST00000204566",321,1,296,24
"316","ENST00000204679",383,1,43,339
"317","ENST00000204679",815,1,43,771
"318","ENST00000204679",818,1,43,774
"319","ENST00000205061",42,1,20,21
"320","ENST00000205061",1047,1,20,1026
"321","ENST00000205061",1125,1,20,1104
"322","ENST00000205061",1131,1,20,1110
"323","ENST00000205061",1500,1,20,1479
"324","ENST00000205061",1515,1,20,1494
"325","ENST00000205061",1518,2,20,1497
"326","ENST00000205061",1521,1,20,1500
"327","ENST00000205061",2481,1,20,2460
"328","ENST00000205061",2760,1,20,2739
"329","ENST00000205061",2763,1,20,2742
"330","ENST00000205061",3195,1,20,3174
"331","ENST00000205061",3555,1,20,3534
"332","ENST00000205402",333,2,281,51
"333","ENST00000205402",354,1,281,72
"334","ENST00000205402",372,1,281,90
"335","ENST00000205402",387,1,281,105
"336","ENST00000205402",738,1,281,456
"337","ENST00000205636",955,2,663,291
"338","ENST00000205636",1132,1,663,468
"339","ENST00000206020",111,1,68,42
"340","ENST00000206020",114,2,68,45
"341","ENST00000206020",297,1,68,228
"342","ENST00000206020",570,1,68,501
"343","ENST00000206380",680,1,25,654
"344","ENST00000206423",1168,1,954,213
"345","ENST00000206423",1270,1,954,315
"346","ENST00000206423",1711,1,954,756
"347","ENST00000206423",1714,1,954,759
"348","ENST00000206423",2422,1,954,1467
"349","ENST00000206423",2854,1,954,1899
"350","ENST00000206423",2944,1,954,1989
"351","ENST00000206423",3745,1,954,2790
"352","ENST00000206451",136,2,105,30
"353","ENST00000206451",304,1,105,198
"354","ENST00000206451",676,1,105,570
"355","ENST00000206451",754,1,105,648
"356","ENST00000207636",316,1,165,150
"357","ENST00000209728",868,1,471,396
"358","ENST00000209728",1432,1,471,960
"359","ENST00000209873",383,1,166,216
"360","ENST00000209875",165,1,137,27
"361","ENST00000209875",573,1,137,435
"362","ENST00000210060",374,1,136,237
"363","ENST00000210060",656,1,136,519
"364","ENST00000210060",659,1,136,522
"365","ENST00000210313",181,1,75,105
"366","ENST00000210313",292,1,75,216
"367","ENST00000210313",361,1,75,285
"368","ENST00000210313",664,1,75,588
"369","ENST00000210444",236,1,70,165
"370","ENST00000210444",356,1,70,285
"371","ENST00000210444",551,1,70,480
"372","ENST00000210444",710,1,70,639
"373","ENST00000210444",839,1,70,768
"374","ENST00000210444",1040,1,70,969
"375","ENST00000210444",1094,1,70,1023
"376","ENST00000211314",406,1,153,252
"378","ENST00000211379",1403,1,295,1107
"381","ENST00000211998",110,2,94,15
"382","ENST00000211998",113,1,94,18
"383","ENST00000211998",422,1,94,327
"384","ENST00000211998",590,1,94,495
"385","ENST00000211998",728,1,94,633
"386","ENST00000211998",2165,1,94,2070
"387","ENST00000211998",2327,2,94,2232
"388","ENST00000211998",2525,1,94,2430
"389","ENST00000211998",2813,1,94,2718
"390","ENST00000211998",3443,1,94,3348
"391","ENST00000214869",550,1,99,450
"392","ENST00000215071",256,1,66,189
