"","seqnames","start","freq","utr5_len","ss"
"1","YAL003W",19,1,0,18
"2","YAL003W",262,1,0,261
"3","YAL005C",478,1,0,477
"4","YAL005C",595,1,0,594
"5","YAL005C",616,1,0,615
"6","YAL005C",736,1,0,735
"7","YAL005C",973,1,0,972
"8","YAL005C",1339,1,0,1338
"9","YAL005C",1348,1,0,1347
"10","YAL005C",1351,1,0,1350
"11","YAL005C",1468,1,0,1467
"12","YAL005C",1510,1,0,1509
"13","YAL005C",1750,1,0,1749
"15","YAL007C",139,1,0,138
"16","YAL007C",154,1,0,153
"17","YAL008W",16,1,0,15
"18","YAL008W",82,1,0,81
"20","YAL012W",166,1,0,165
"21","YAL012W",316,1,0,315
"22","YAL012W",322,1,0,321
"23","YAL012W",376,1,0,375
"24","YAL012W",433,1,0,432
"26","YAL013W",550,1,0,549
"27","YAL013W",718,1,0,717
"28","YAL013W",727,1,0,726
"29","YAL013W",739,1,0,738
"30","YAL013W",751,1,0,750
"32","YAL014C",34,1,0,33
"33","YAL014C",106,1,0,105
"34","YAL014C",532,1,0,531
"37","YAL016W",319,1,0,318
"38","YAL016W",664,1,0,663
"39","YAL016W",1156,1,0,1155
"40","YAL018C",253,1,0,252
"43","YAL019W",19,1,0,18
"44","YAL019W",22,1,0,21
"45","YAL019W",115,1,0,114
"46","YAL019W",124,1,0,123
"47","YAL019W",211,1,0,210
"48","YAL019W",496,1,0,495
"49","YAL019W",697,1,0,696
"50","YAL019W",1084,1,0,1083
"51","YAL019W",1483,1,0,1482
"52","YAL019W",2617,1,0,2616
"55","YAL021C",103,1,0,102
"56","YAL021C",427,1,0,426
"57","YAL021C",445,1,0,444
"58","YAL021C",460,1,0,459
"59","YAL021C",1576,1,0,1575
"60","YAL021C",1627,1,0,1626
"61","YAL022C",259,1,0,258
"62","YAL022C",262,1,0,261
"63","YAL022C",322,1,0,321
"64","YAL022C",331,1,0,330
"65","YAL022C",1024,1,0,1023
"66","YAL023C",37,1,0,36
"67","YAL023C",40,1,0,39
"68","YAL023C",46,1,0,45
"69","YAL023C",202,1,0,201
"70","YAL023C",223,1,0,222
"71","YAL023C",226,1,0,225
"72","YAL023C",250,1,0,249
"73","YAL023C",274,1,0,273
"74","YAL023C",301,1,0,300
"75","YAL023C",820,1,0,819
"76","YAL023C",1795,1,0,1794
"78","YAL025C",67,2,0,66
"79","YAL025C",88,1,0,87
"80","YAL025C",316,1,0,315
"81","YAL025C",337,1,0,336
"82","YAL025C",844,1,0,843
"83","YAL026C",22,1,0,21
"84","YAL026C",325,1,0,324
"85","YAL026C",382,1,0,381
"86","YAL026C",3109,1,0,3108
"87","YAL026C",3979,1,0,3978
"88","YAL029C",277,1,0,276
"89","YAL029C",412,1,0,411
"90","YAL029C",901,1,0,900
"91","YAL029C",1120,1,0,1119
"92","YAL029C",3025,1,0,3024
"93","YAL029C",4132,1,0,4131
"94","YAL030W",25,1,0,24
"97","YAL032C",223,1,0,222
"98","YAL032C",976,1,0,975
"100","YAL033W",19,1,0,18
"101","YAL033W",403,1,0,402
"102","YAL034C",43,1,0,42
"103","YAL034C",826,1,0,825
"105","YAL035W",124,1,0,123
"106","YAL035W",133,1,0,132
"107","YAL035W",256,1,0,255
"108","YAL035W",337,1,0,336
"109","YAL035W",361,1,0,360
"110","YAL035W",382,1,0,381
"111","YAL035W",493,1,0,492
"112","YAL035W",868,1,0,867
"113","YAL035W",874,1,0,873
"114","YAL035W",925,1,0,924
"115","YAL035W",1042,1,0,1041
"116","YAL035W",1366,1,0,1365
"117","YAL035W",1408,2,0,1407
"118","YAL035W",1960,1,0,1959
"119","YAL035W",2176,2,0,2175
"120","YAL035W",2449,1,0,2448
"121","YAL035W",2986,1,0,2985
"122","YAL036C",25,1,0,24
"123","YAL036C",250,1,0,249
"124","YAL036C",358,2,0,357
"125","YAL036C",472,1,0,471
"126","YAL036C",760,1,0,759
"129","YAL038W",151,1,0,150
"130","YAL038W",265,1,0,264
"131","YAL038W",841,1,0,840
"132","YAL038W",958,1,0,957
"133","YAL038W",1240,1,0,1239
"134","YAL039C",430,1,0,429
"135","YAL039C",595,1,0,594
"136","YAL041W",43,1,0,42
"137","YAL041W",46,1,0,45
"138","YAL041W",49,1,0,48
"139","YAL041W",154,1,0,153
"140","YAL041W",1489,1,0,1488
"141","YAL041W",1567,1,0,1566
"143","YAL042W",97,1,0,96
"144","YAL042W",184,1,0,183
"145","YAL042W",202,1,0,201
"148","YAL043C",499,1,0,498
"149","YAL043C",823,1,0,822
