"","seqnames","start","freq","utr5_len","ss"
"3","FBtr0005088",487,2,273,213
"4","FBtr0005088",523,2,273,249
"5","FBtr0005088",628,1,273,354
"6","FBtr0005088",1336,1,273,1062
"7","FBtr0005088",1570,1,273,1296
"8","FBtr0005088",1615,1,273,1341
"9","FBtr0005088",1744,1,273,1470
"10","FBtr0070007",132,1,92,39
"11","FBtr0070007",225,1,92,132
"12","FBtr0070007",270,1,92,177
"13","FBtr0070007",462,2,92,369
"14","FBtr0070007",465,1,92,372
"15","FBtr0070007",519,1,92,426
"16","FBtr0070007",522,1,92,429
"17","FBtr0070007",567,1,92,474
"18","FBtr0070007",579,1,92,486
"19","FBtr0070007",762,1,92,669
"21","FBtr0070008",155,1,127,27
"22","FBtr0070008",161,1,127,33
"23","FBtr0070008",740,1,127,612
"24","FBtr0070008",866,1,127,738
"25","FBtr0070008",869,1,127,741
"26","FBtr0070008",875,1,127,747
"27","FBtr0070025",207,1,134,72
"28","FBtr0070025",354,1,134,219
"29","FBtr0070025",687,1,134,552
"30","FBtr0070025",690,1,134,555
"31","FBtr0070025",789,1,134,654
"32","FBtr0070026",179,1,136,42
"33","FBtr0070026",293,1,136,156
"34","FBtr0070026",845,1,136,708
"35","FBtr0070026",890,1,136,753
"36","FBtr0070026",1343,1,136,1206
"38","FBtr0070027",126,1,95,30
"39","FBtr0070027",210,1,95,114
"40","FBtr0070027",228,1,95,132
"41","FBtr0070027",279,1,95,183
"42","FBtr0070027",282,1,95,186
"43","FBtr0070027",372,1,95,276
"44","FBtr0070027",714,1,95,618
"45","FBtr0070027",1197,1,95,1101
"46","FBtr0070028",1013,1,925,87
"47","FBtr0070028",1058,1,925,132
"48","FBtr0070028",1061,1,925,135
"49","FBtr0070028",1199,1,925,273
"50","FBtr0070028",1298,1,925,372
"51","FBtr0070038",70,1,54,15
"52","FBtr0070038",73,2,54,18
"53","FBtr0070038",196,1,54,141
"54","FBtr0070038",976,1,54,921
"55","FBtr0070038",1213,1,54,1158
"56","FBtr0070038",1876,1,54,1821
"57","FBtr0070038",1930,2,54,1875
"58","FBtr0070038",2722,1,54,2667
"59","FBtr0070040",206,1,109,96
"60","FBtr0070041",146,1,49,96
"61","FBtr0070042",379,1,327,51
"62","FBtr0070042",535,1,327,207
"63","FBtr0070042",727,1,327,399
"64","FBtr0070042",757,2,327,429
"65","FBtr0070042",790,1,327,462
"66","FBtr0070042",823,1,327,495
"67","FBtr0070042",919,1,327,591
"68","FBtr0070043",404,1,352,51
"69","FBtr0070043",560,1,352,207
"70","FBtr0070043",752,1,352,399
"71","FBtr0070043",782,2,352,429
"72","FBtr0070043",815,1,352,462
"73","FBtr0070043",848,1,352,495
"74","FBtr0070043",944,1,352,591
"75","FBtr0070044",266,1,214,51
"76","FBtr0070044",422,1,214,207
"77","FBtr0070044",614,1,214,399
"78","FBtr0070044",644,2,214,429
"79","FBtr0070044",677,1,214,462
"80","FBtr0070044",710,1,214,495
"81","FBtr0070044",806,1,214,591
"83","FBtr0070045",136,1,102,33
"84","FBtr0070045",208,1,102,105
"85","FBtr0070045",262,1,102,159
"86","FBtr0070045",310,1,102,207
"87","FBtr0070045",316,1,102,213
"88","FBtr0070045",505,1,102,402
"89","FBtr0070045",586,1,102,483
"90","FBtr0070045",595,1,102,492
"91","FBtr0070045",790,1,102,687
"92","FBtr0070045",1567,1,102,1464
"93","FBtr0070046",137,1,112,24
"94","FBtr0070046",1055,1,112,942
"95","FBtr0070046",1409,1,112,1296
"96","FBtr0070052",114,2,56,57
"97","FBtr0070052",426,1,56,369
"98","FBtr0070052",642,1,56,585
"99","FBtr0070055",115,1,57,57
"100","FBtr0070055",427,1,57,369
"101","FBtr0070058",169,3,114,54
"102","FBtr0070058",364,1,114,249
"103","FBtr0070058",1006,1,114,891
"104","FBtr0070058",1009,1,114,894
"105","FBtr0070058",1156,1,114,1041
"106","FBtr0070058",1234,2,114,1119
"107","FBtr0070058",1237,1,114,1122
"108","FBtr0070058",1288,1,114,1173
"109","FBtr0070058",1567,1,114,1452
"110","FBtr0070058",1600,1,114,1485
"111","FBtr0070058",1747,1,114,1632
"112","FBtr0070058",1801,1,114,1686
"113","FBtr0070058",1918,2,114,1803
"114","FBtr0070058",2575,1,114,2460
"115","FBtr0070058",2716,1,114,2601
"116","FBtr0070059",191,3,136,54
"117","FBtr0070059",386,1,136,249
"118","FBtr0070059",1028,1,136,891
"119","FBtr0070059",1031,1,136,894
"120","FBtr0070059",1178,1,136,1041
"121","FBtr0070059",1256,2,136,1119
"122","FBtr0070059",1259,1,136,1122
"123","FBtr0070059",1310,1,136,1173
"124","FBtr0070059",1589,1,136,1452
"125","FBtr0070059",1622,1,136,1485
"126","FBtr0070059",1769,1,136,1632
"127","FBtr0070059",1823,1,136,1686
"128","FBtr0070059",1940,2,136,1803
"129","FBtr0070059",2597,1,136,2460
"130","FBtr0070059",2738,1,136,2601
"131","FBtr0070060",265,3,210,54
"132","FBtr0070060",460,1,210,249
"133","FBtr0070060",1102,1,210,891
"134","FBtr0070060",1105,1,210,894
"135","FBtr0070060",1252,1,210,1041
"136","FBtr0070060",1330,2,210,1119
"137","FBtr0070060",1333,1,210,1122
"138","FBtr0070060",1384,1,210,1173
"139","FBtr0070060",1663,1,210,1452
"140","FBtr0070060",1696,1,210,1485
"141","FBtr0070060",1843,1,210,1632
"142","FBtr0070060",1897,1,210,1686
"143","FBtr0070060",2014,2,210,1803
"144","FBtr0070060",2671,1,210,2460
"145","FBtr0070060",2812,1,210,2601
"146","FBtr0070061",301,3,246,54
"147","FBtr0070061",496,1,246,249
"148","FBtr0070061",1138,1,246,891
"149","FBtr0070061",1141,1,246,894
"150","FBtr0070061",1288,1,246,1041
"151","FBtr0070061",1366,2,246,1119
"152","FBtr0070061",1369,1,246,1122
"153","FBtr0070061",1420,1,246,1173
"154","FBtr0070061",1699,1,246,1452
"155","FBtr0070061",1732,1,246,1485
"156","FBtr0070061",1879,1,246,1632
"157","FBtr0070061",1933,1,246,1686
"158","FBtr0070061",2050,2,246,1803
"159","FBtr0070061",2707,1,246,2460
"160","FBtr0070061",2848,1,246,2601
"161","FBtr0070062",166,3,111,54
"162","FBtr0070062",361,1,111,249
"163","FBtr0070062",1003,1,111,891
"164","FBtr0070062",1006,1,111,894
"165","FBtr0070062",1153,1,111,1041
"166","FBtr0070062",1231,2,111,1119
"167","FBtr0070062",1234,1,111,1122
"168","FBtr0070062",1285,1,111,1173
"169","FBtr0070062",1564,1,111,1452
"170","FBtr0070062",1597,1,111,1485
"171","FBtr0070062",1744,1,111,1632
"172","FBtr0070062",1798,1,111,1686
"173","FBtr0070062",1915,2,111,1803
"174","FBtr0070062",2572,1,111,2460
"175","FBtr0070062",2713,1,111,2601
"177","FBtr0070064",142,1,120,21
"178","FBtr0070064",466,1,120,345
"179","FBtr0070064",931,1,120,810
"180","FBtr0070064",1270,1,120,1149
"181","FBtr0070064",1540,1,120,1419
"183","FBtr0070065",142,1,120,21
"184","FBtr0070065",466,1,120,345
"185","FBtr0070065",931,1,120,810
"186","FBtr0070065",1270,1,120,1149
"187","FBtr0070065",1540,1,120,1419
"188","FBtr0070076",293,1,253,39
"189","FBtr0070077",118,2,93,24
"191","FBtr0070081",1669,1,474,1194
"192","FBtr0070081",1981,1,474,1506
"193","FBtr0070081",2386,1,474,1911
"194","FBtr0070081",3553,1,474,3078
"195","FBtr0070084",1683,1,494,1188
"196","FBtr0070084",1995,1,494,1500
"197","FBtr0070084",2400,1,494,1905
"198","FBtr0070084",3567,1,494,3072
"199","FBtr0070085",1683,1,494,1188
"200","FBtr0070086",1669,1,474,1194
"201","FBtr0070087",1669,1,474,1194
"202","FBtr0070087",1981,1,474,1506
"203","FBtr0070087",2386,1,474,1911
"204","FBtr0070087",3553,1,474,3078
"205","FBtr0070088",786,1,77,708
"206","FBtr0070089",273,1,218,54
"207","FBtr0070089",330,1,218,111
"208","FBtr0070089",492,1,218,273
"209","FBtr0070089",765,1,218,546
"210","FBtr0070089",1383,1,218,1164
"211","FBtr0070090",374,1,319,54
"212","FBtr0070090",431,1,319,111
"213","FBtr0070090",593,1,319,273
"214","FBtr0070090",866,1,319,546
"215","FBtr0070090",1484,1,319,1164
"216","FBtr0070092",181,1,78,102
"217","FBtr0070092",346,1,78,267
"218","FBtr0070092",529,1,78,450
"219","FBtr0070092",724,1,78,645
"220","FBtr0070092",913,1,78,834
"221","FBtr0070092",916,1,78,837
"222","FBtr0070092",1192,2,78,1113
"223","FBtr0070092",1306,1,78,1227
"224","FBtr0070093",354,1,278,75
"225","FBtr0070093",519,1,278,240
"226","FBtr0070093",702,1,278,423
"227","FBtr0070093",897,1,278,618
"228","FBtr0070093",1086,1,278,807
"229","FBtr0070093",1089,1,278,810
"230","FBtr0070093",1365,2,278,1086
"231","FBtr0070093",1479,1,278,1200
"232","FBtr0070094",165,1,101,63
"233","FBtr0070094",318,1,101,216
