"","seqnames","start","freq","utr5_len","ss"
"1","ENSDART00000000042",117,1,35,81
"2","ENSDART00000000042",282,1,35,246
"3","ENSDART00000000042",378,1,35,342
"4","ENSDART00000000042",1230,1,35,1194
"5","ENSDART00000000042",1413,1,35,1377
"6","ENSDART00000000042",1449,1,35,1413
"7","ENSDART00000000042",1713,1,35,1677
"8","ENSDART00000000042",1836,1,35,1800
"9","ENSDART00000000069",445,1,138,306
"10","ENSDART00000000069",511,1,138,372
"11","ENSDART00000000069",625,1,138,486
"12","ENSDART00000000069",637,1,138,498
"13","ENSDART00000000069",1126,1,138,987
"14","ENSDART00000000069",1261,1,138,1122
"16","ENSDART00000000070",226,1,153,72
"17","ENSDART00000000070",259,1,153,105
"18","ENSDART00000000070",322,1,153,168
"19","ENSDART00000000070",460,1,153,306
"21","ENSDART00000000566",386,1,223,162
"22","ENSDART00000000566",401,1,223,177
"23","ENSDART00000000566",506,1,223,282
"24","ENSDART00000000566",512,1,223,288
"25","ENSDART00000000876",1586,1,100,1485
"26","ENSDART00000000876",1622,1,100,1521
"29","ENSDART00000000992",294,1,173,120
"30","ENSDART00000000992",438,2,173,264
"31","ENSDART00000000992",459,1,173,285
"32","ENSDART00000000992",501,3,173,327
"33","ENSDART00000000992",630,1,173,456
"35","ENSDART00000001318",537,1,347,189
"36","ENSDART00000001318",558,1,347,210
"37","ENSDART00000001318",666,1,347,318
"38","ENSDART00000001318",681,1,347,333
"39","ENSDART00000001318",1137,1,347,789
"40","ENSDART00000001318",1410,1,347,1062
"41","ENSDART00000001376",181,1,117,63
"42","ENSDART00000001376",340,1,117,222
"43","ENSDART00000001795",2220,1,290,1929
"44","ENSDART00000001803",784,1,375,408
"46","ENSDART00000001804",221,1,139,81
"47","ENSDART00000001804",341,3,139,201
"48","ENSDART00000001804",377,1,139,237
"49","ENSDART00000001804",434,1,139,294
"50","ENSDART00000001804",446,2,139,306
"51","ENSDART00000001804",449,1,139,309
"52","ENSDART00000001804",623,1,139,483
"53","ENSDART00000001804",749,1,139,609
"54","ENSDART00000001804",770,2,139,630
"55","ENSDART00000001804",815,1,139,675
"56","ENSDART00000001804",824,1,139,684
"57","ENSDART00000001804",836,1,139,696
"58","ENSDART00000001804",1091,1,139,951
"59","ENSDART00000001804",1109,1,139,969
"60","ENSDART00000001804",1163,1,139,1023
"61","ENSDART00000001804",1640,1,139,1500
"62","ENSDART00000001804",1676,1,139,1536
"63","ENSDART00000001830",100,1,0,99
"64","ENSDART00000001830",112,1,0,111
"65","ENSDART00000001830",340,2,0,339
"66","ENSDART00000001830",364,1,0,363
"68","ENSDART00000001907",190,1,141,48
"69","ENSDART00000001907",322,1,141,180
"70","ENSDART00000001907",385,1,141,243
"71","ENSDART00000001907",388,1,141,246
"72","ENSDART00000001907",625,1,141,483
"73","ENSDART00000001907",706,1,141,564
"74","ENSDART00000001907",754,1,141,612
"75","ENSDART00000001907",910,2,141,768
"76","ENSDART00000001907",937,1,141,795
"77","ENSDART00000001907",1030,1,141,888
"78","ENSDART00000001907",1090,2,141,948
"79","ENSDART00000001907",1108,2,141,966
"80","ENSDART00000001907",1195,2,141,1053
"81","ENSDART00000001907",1318,2,141,1176
"82","ENSDART00000001907",1603,1,141,1461
"83","ENSDART00000001907",1606,1,141,1464
"84","ENSDART00000002029",111,1,71,39
"85","ENSDART00000002029",888,1,71,816
"87","ENSDART00000002166",299,1,169,129
"88","ENSDART00000002166",302,1,169,132
"89","ENSDART00000002166",359,1,169,189
"90","ENSDART00000002166",377,1,169,207
"91","ENSDART00000002166",686,1,169,516
"92","ENSDART00000002166",710,2,169,540
"93","ENSDART00000002166",797,1,169,627
"94","ENSDART00000002166",863,1,169,693
"95","ENSDART00000002166",1073,1,169,903
"96","ENSDART00000002166",1079,2,169,909
"97","ENSDART00000002166",1274,1,169,1104
"99","ENSDART00000002186",69,2,38,30
"100","ENSDART00000002186",237,1,38,198
"101","ENSDART00000002186",393,1,38,354
"102","ENSDART00000002186",516,1,38,477
"103","ENSDART00000002186",723,1,38,684
"104","ENSDART00000002247",1408,1,249,1158
"106","ENSDART00000002318",133,1,90,42
"107","ENSDART00000002318",145,1,90,54
"108","ENSDART00000002318",259,1,90,168
"109","ENSDART00000002318",385,2,90,294
"110","ENSDART00000002318",520,1,90,429
"111","ENSDART00000002318",583,1,90,492
"112","ENSDART00000002318",691,1,90,600
"113","ENSDART00000002318",925,1,90,834
"114","ENSDART00000002318",1015,1,90,924
"116","ENSDART00000002401",569,1,187,381
"117","ENSDART00000002401",662,1,187,474
"118","ENSDART00000002453",452,1,397,54
"119","ENSDART00000002453",572,1,397,174
"120","ENSDART00000002453",713,1,397,315
"121","ENSDART00000002453",818,1,397,420
"122","ENSDART00000002453",1130,2,397,732
"123","ENSDART00000002453",1493,1,397,1095
"124","ENSDART00000002453",1727,1,397,1329
"125","ENSDART00000002453",1844,2,397,1446
"126","ENSDART00000002453",2156,1,397,1758
"127","ENSDART00000002453",2339,1,397,1941
"128","ENSDART00000002463",449,1,184,264
"129","ENSDART00000002463",548,1,184,363
"130","ENSDART00000002463",722,1,184,537
"131","ENSDART00000002463",845,1,184,660
"133","ENSDART00000002465",56,1,40,15
"134","ENSDART00000002465",203,1,40,162
"135","ENSDART00000002465",302,1,40,261
"136","ENSDART00000002465",308,1,40,267
"137","ENSDART00000002465",575,1,40,534
"138","ENSDART00000002465",740,1,40,699
"139","ENSDART00000002465",983,1,40,942
"140","ENSDART00000002465",2171,1,40,2130
"141","ENSDART00000002469",211,1,183,27
"142","ENSDART00000002469",217,1,183,33
"143","ENSDART00000002469",334,1,183,150
"144","ENSDART00000002469",376,1,183,192
"145","ENSDART00000002469",937,1,183,753
"146","ENSDART00000002469",1087,1,183,903
"147","ENSDART00000002469",1360,1,183,1176
"148","ENSDART00000002469",1417,2,183,1233
"149","ENSDART00000002469",1495,1,183,1311
"150","ENSDART00000002469",1612,2,183,1428
"151","ENSDART00000002469",1615,1,183,1431
"152","ENSDART00000002469",2071,2,183,1887
"153","ENSDART00000002469",2266,1,183,2082
"154","ENSDART00000002469",2680,1,183,2496
"155","ENSDART00000002545",688,1,210,477
"156","ENSDART00000002545",937,1,210,726
"157","ENSDART00000002545",1288,1,210,1077
"158","ENSDART00000002556",78,1,53,24
"159","ENSDART00000002556",123,1,53,69
"160","ENSDART00000002595",192,1,98,93
"161","ENSDART00000002595",249,1,98,150
"162","ENSDART00000002595",315,1,98,216
"163","ENSDART00000002595",360,1,98,261
"164","ENSDART00000002595",363,1,98,264
"165","ENSDART00000002622",77,2,49,27
"166","ENSDART00000002622",134,1,49,84
"167","ENSDART00000002622",167,2,49,117
"168","ENSDART00000002622",275,2,49,225
"169","ENSDART00000002622",344,1,49,294
"170","ENSDART00000002622",419,1,49,369
"171","ENSDART00000002622",866,3,49,816
"172","ENSDART00000002622",917,1,49,867
"173","ENSDART00000002622",956,1,49,906
"174","ENSDART00000002622",1115,2,49,1065
"175","ENSDART00000002622",1517,1,49,1467
"176","ENSDART00000002624",282,1,89,192
"177","ENSDART00000002624",285,2,89,195
"178","ENSDART00000002624",546,2,89,456
"179","ENSDART00000002682",528,1,56,471
"180","ENSDART00000002682",633,1,56,576
"181","ENSDART00000002682",933,1,56,876
"182","ENSDART00000002682",1779,1,56,1722
"183","ENSDART00000002728",363,1,347,15
"184","ENSDART00000002728",366,1,347,18
"185","ENSDART00000002728",603,1,347,255
"186","ENSDART00000002728",645,1,347,297
"187","ENSDART00000002728",912,1,347,564
"188","ENSDART00000002728",1086,1,347,738
"189","ENSDART00000002728",1602,1,347,1254
"190","ENSDART00000002728",2463,1,347,2115
"191","ENSDART00000002728",2466,1,347,2118
"192","ENSDART00000002741",180,1,164,15
"193","ENSDART00000002741",348,1,164,183
"194","ENSDART00000002764",331,1,135,195
"195","ENSDART00000002764",550,1,135,414
"196","ENSDART00000002764",814,1,135,678
"197","ENSDART00000002764",832,1,135,696
"198","ENSDART00000002764",1117,1,135,981
"199","ENSDART00000002764",1138,1,135,1002
"200","ENSDART00000002824",479,1,211,267
"201","ENSDART00000002824",557,1,211,345
"202","ENSDART00000002824",794,1,211,582
"203","ENSDART00000002824",899,1,211,687
"204","ENSDART00000002824",1082,1,211,870
"205","ENSDART00000002824",1166,1,211,954
"207","ENSDART00000002835",421,1,162,258
"208","ENSDART00000002835",439,1,162,276
"209","ENSDART00000002835",457,1,162,294
"210","ENSDART00000002835",460,2,162,297
"211","ENSDART00000002835",481,1,162,318
"212","ENSDART00000002835",484,1,162,321
"213","ENSDART00000002835",613,1,162,450
"214","ENSDART00000002835",892,1,162,729
"215","ENSDART00000002886",534,1,107,426
"216","ENSDART00000002886",597,1,107,489
"217","ENSDART00000002886",747,1,107,639
"219","ENSDART00000002932",274,1,258,15
"220","ENSDART00000002932",349,1,258,90
"221","ENSDART00000002932",424,1,258,165
"222","ENSDART00000002932",436,1,258,177
"223","ENSDART00000002932",808,1,258,549
"224","ENSDART00000002932",934,1,258,675
"226","ENSDART00000002949",351,1,218,132
"227","ENSDART00000002949",540,1,218,321
"228","ENSDART00000002949",582,1,218,363
"229","ENSDART00000002949",636,1,218,417
"230","ENSDART00000002949",642,1,218,423
"231","ENSDART00000002949",660,1,218,441
"232","ENSDART00000002949",666,1,218,447
"233","ENSDART00000002949",672,1,218,453
"234","ENSDART00000002949",1617,1,218,1398
"235","ENSDART00000002949",1758,1,218,1539
"236","ENSDART00000002961",387,1,359,27
"237","ENSDART00000002961",1401,1,359,1041
"238","ENSDART00000002985",435,2,266,168
"239","ENSDART00000002985",558,1,266,291
"240","ENSDART00000002985",597,1,266,330
"241","ENSDART00000002985",645,3,266,378
"242","ENSDART00000002985",687,2,266,420
"243","ENSDART00000002985",813,1,266,546
"244","ENSDART00000003001",80,1,49,30
"245","ENSDART00000003001",155,1,49,105
"246","ENSDART00000003001",194,1,49,144
"247","ENSDART00000003001",197,1,49,147
"248","ENSDART00000003001",314,1,49,264
"249","ENSDART00000003001",473,1,49,423
"250","ENSDART00000003143",37,1,0,36
"251","ENSDART00000003143",109,1,0,108
"252","ENSDART00000003143",262,1,0,261
"253","ENSDART00000003143",265,1,0,264
"254","ENSDART00000003143",550,1,0,549
"255","ENSDART00000003143",2374,1,0,2373
"256","ENSDART00000003143",3937,1,0,3936
"257","ENSDART00000003143",3940,1,0,3939
"258","ENSDART00000003143",4378,1,0,4377
"260","ENSDART00000003170",230,1,109,120
"261","ENSDART00000003170",443,1,109,333
"262","ENSDART00000003170",476,1,109,366
"263","ENSDART00000003170",530,1,109,420
"264","ENSDART00000003170",557,1,109,447
"265","ENSDART00000003195",708,1,185,522
"266","ENSDART00000003195",882,1,185,696
"268","ENSDART00000003211",152,1,133,18
"269","ENSDART00000003211",599,1,133,465
"270","ENSDART00000003211",869,1,133,735
"271","ENSDART00000003211",998,1,133,864
"272","ENSDART00000003248",187,1,168,18
"273","ENSDART00000003248",424,1,168,255
"274","ENSDART00000003248",427,1,168,258
"275","ENSDART00000003248",754,1,168,585
"276","ENSDART00000003248",880,1,168,711
"279","ENSDART00000003298",228,1,62,165
"280","ENSDART00000003299",223,1,174,48
"281","ENSDART00000003299",427,1,174,252
"282","ENSDART00000003299",628,2,174,453
"283","ENSDART00000003299",676,1,174,501
"284","ENSDART00000003299",718,1,174,543
"285","ENSDART00000003299",838,1,174,663
"286","ENSDART00000003299",841,1,174,666
"287","ENSDART00000003303",818,1,163,654
"289","ENSDART00000003314",167,1,106,60
"290","ENSDART00000003314",410,1,106,303
"291","ENSDART00000003314",1097,2,106,990
"292","ENSDART00000003314",1388,1,106,1281
"293","ENSDART00000003314",1427,1,106,1320
"294","ENSDART00000003317",448,1,165,282
"296","ENSDART00000003418",969,1,371,597
"297","ENSDART00000003418",1083,1,371,711
"298","ENSDART00000003422",82,3,57,24
"299","ENSDART00000003422",91,1,57,33
"300","ENSDART00000003422",124,2,57,66
"301","ENSDART00000003422",172,1,57,114
"302","ENSDART00000003422",367,1,57,309
"303","ENSDART00000003422",505,1,57,447
"304","ENSDART00000003422",796,2,57,738
"305","ENSDART00000003422",799,2,57,741
"306","ENSDART00000003422",862,1,57,804
"307","ENSDART00000003422",1186,1,57,1128
"308","ENSDART00000003422",1399,1,57,1341
"309","ENSDART00000003422",1411,2,57,1353
"310","ENSDART00000003422",1432,1,57,1374
"311","ENSDART00000003422",1582,1,57,1524
"312","ENSDART00000003428",502,2,174,327
"313","ENSDART00000003428",697,1,174,522
"314","ENSDART00000003428",769,2,174,594
"315","ENSDART00000003428",1069,1,174,894
"316","ENSDART00000003435",254,1,103,150
"317","ENSDART00000003435",533,1,103,429
"318","ENSDART00000003435",575,1,103,471
"319","ENSDART00000003435",836,1,103,732
"320","ENSDART00000003493",619,1,0,618
"321","ENSDART00000003493",991,1,0,990
"322","ENSDART00000003511",171,1,152,18
"323","ENSDART00000003511",204,1,152,51
"324","ENSDART00000003511",207,1,152,54
"325","ENSDART00000003511",210,1,152,57
"326","ENSDART00000003511",444,1,152,291
"327","ENSDART00000003511",468,1,152,315
"328","ENSDART00000003511",516,1,152,363
"329","ENSDART00000003511",585,1,152,432
"330","ENSDART00000003511",777,1,152,624
"331","ENSDART00000003511",801,1,152,648
"332","ENSDART00000003511",813,1,152,660
"333","ENSDART00000003511",912,1,152,759
"334","ENSDART00000003511",1023,1,152,870
"335","ENSDART00000003511",1455,1,152,1302
"336","ENSDART00000003511",1626,1,152,1473
"337","ENSDART00000003511",1641,1,152,1488
"338","ENSDART00000003511",1785,1,152,1632
"339","ENSDART00000003511",1812,1,152,1659
"340","ENSDART00000003511",1854,3,152,1701
"341","ENSDART00000003511",2262,1,152,2109
"342","ENSDART00000003511",2484,1,152,2331
"343","ENSDART00000003511",2487,1,152,2334
"344","ENSDART00000003511",2514,1,152,2361
"345","ENSDART00000003511",2562,1,152,2409
"346","ENSDART00000003511",2610,1,152,2457
"347","ENSDART00000003511",2649,1,152,2496
"348","ENSDART00000003511",3072,1,152,2919
"349","ENSDART00000003511",3129,2,152,2976
"350","ENSDART00000003517",372,1,341,30
"351","ENSDART00000003517",375,1,341,33
"352","ENSDART00000003517",513,1,341,171
"353","ENSDART00000003517",519,1,341,177
"354","ENSDART00000003517",1014,1,341,672
"355","ENSDART00000003544",416,1,142,273
"356","ENSDART00000003544",617,1,142,474
"357","ENSDART00000003544",641,1,142,498
"358","ENSDART00000003544",815,1,142,672
"359","ENSDART00000003544",908,2,142,765
"360","ENSDART00000003544",1184,2,142,1041
"361","ENSDART00000003544",1337,1,142,1194
"363","ENSDART00000003634",142,1,111,30
"364","ENSDART00000003634",463,1,111,351
"365","ENSDART00000003634",598,1,111,486
"366","ENSDART00000003634",607,1,111,495
"367","ENSDART00000003634",1030,1,111,918
"369","ENSDART00000003670",274,2,237,36
"370","ENSDART00000003670",283,1,237,45
"371","ENSDART00000003670",292,1,237,54
"372","ENSDART00000003670",493,1,237,255
"373","ENSDART00000003670",676,1,237,438
"374","ENSDART00000003670",706,1,237,468
"375","ENSDART00000003670",784,2,237,546
"376","ENSDART00000003674",1165,1,90,1074
"378","ENSDART00000003694",515,1,220,294
"379","ENSDART00000003694",563,1,220,342
"380","ENSDART00000003694",1007,1,220,786
"381","ENSDART00000003694",1073,1,220,852
"382","ENSDART00000003694",1076,1,220,855
"383","ENSDART00000003694",1379,1,220,1158
"384","ENSDART00000003694",1595,1,220,1374
"385","ENSDART00000003694",2075,1,220,1854
"386","ENSDART00000003694",2861,1,220,2640
"387","ENSDART00000003694",2876,1,220,2655
"388","ENSDART00000003694",3119,1,220,2898
"389","ENSDART00000003694",3467,1,220,3246
"391","ENSDART00000003752",238,2,108,129
"392","ENSDART00000003752",301,1,108,192
"393","ENSDART00000003752",988,1,108,879
"394","ENSDART00000003752",1267,2,108,1158
"395","ENSDART00000003752",1687,2,108,1578
"396","ENSDART00000003789",491,1,169,321
"397","ENSDART00000003789",1394,1,169,1224
"398","ENSDART00000003790",392,1,103,288
"399","ENSDART00000003790",935,1,103,831
"402","ENSDART00000003884",573,1,149,423
"403","ENSDART00000003884",612,1,149,462
"404","ENSDART00000003884",714,1,149,564
"405","ENSDART00000003884",981,1,149,831
"406","ENSDART00000003884",1869,1,149,1719
"407","ENSDART00000003884",1905,1,149,1755
"408","ENSDART00000003884",2109,1,149,1959
"409","ENSDART00000003888",602,1,151,450
"411","ENSDART00000003891",284,1,163,120
"412","ENSDART00000003891",446,1,163,282
"413","ENSDART00000003891",722,1,163,558
"414","ENSDART00000003891",809,1,163,645
"415","ENSDART00000003891",1034,1,163,870
"416","ENSDART00000003891",1184,1,163,1020
"417","ENSDART00000003891",1187,1,163,1023
"418","ENSDART00000003891",1238,1,163,1074
"419","ENSDART00000003891",1259,1,163,1095
"420","ENSDART00000003891",1280,1,163,1116
"421","ENSDART00000003891",1298,1,163,1134
"422","ENSDART00000003891",1988,2,163,1824
"423","ENSDART00000003891",2243,1,163,2079
"424","ENSDART00000003891",2345,1,163,2181
"425","ENSDART00000003922",209,1,106,102
"426","ENSDART00000003922",212,1,106,105
"429","ENSDART00000003940",338,2,235,102
"430","ENSDART00000003940",374,2,235,138
"431","ENSDART00000003957",207,1,188,18
"432","ENSDART00000003957",210,3,188,21
"433","ENSDART00000003957",237,1,188,48
"434","ENSDART00000003957",420,2,188,231
"435","ENSDART00000003957",561,1,188,372
"436","ENSDART00000003957",663,1,188,474
"437","ENSDART00000003957",909,2,188,720
"438","ENSDART00000003957",927,1,188,738
"439","ENSDART00000003957",933,2,188,744
"441","ENSDART00000003983",173,1,55,117
"442","ENSDART00000003983",326,2,55,270
"443","ENSDART00000003983",566,2,55,510
"444","ENSDART00000003983",830,1,55,774
"445","ENSDART00000003983",1037,2,55,981
"446","ENSDART00000003983",1175,1,55,1119
"447","ENSDART00000003983",1292,1,55,1236
"450","ENSDART00000003998",60,2,41,18
"451","ENSDART00000003998",72,2,41,30
"452","ENSDART00000003998",75,1,41,33
"453","ENSDART00000003998",81,3,41,39
"454","ENSDART00000003998",87,1,41,45
"455","ENSDART00000003998",570,1,41,528
"456","ENSDART00000003998",909,2,41,867
"457","ENSDART00000003998",978,1,41,936
"458","ENSDART00000003998",1053,1,41,1011
"459","ENSDART00000003998",1170,1,41,1128
"460","ENSDART00000003998",1194,1,41,1152
"461","ENSDART00000003998",1494,1,41,1452
"462","ENSDART00000003998",1497,1,41,1455
"463","ENSDART00000003998",1536,1,41,1494
"464","ENSDART00000003998",1587,1,41,1545
"465","ENSDART00000003998",1644,1,41,1602
"466","ENSDART00000003998",1704,1,41,1662
"467","ENSDART00000003998",1719,1,41,1677
"470","ENSDART00000004071",352,3,30,321
"471","ENSDART00000004108",845,1,34,810
"472","ENSDART00000004108",1820,1,34,1785
"473","ENSDART00000004108",2369,1,34,2334
"474","ENSDART00000004129",247,1,0,246
"477","ENSDART00000004217",168,3,152,15
